CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-9217062962888802692,1220546,4749,43,0,8,0,93,0,454,1,0,0,0,0,0,5,0,41,0,0,1,0,1,0,0,0,0,0,0,604,686.0,0,1,0,0,0.20484581497797358,0.08602150537634409
-9199634802404310361,1196717,4862,216,0,2,0,89,0,279,1,0,1,0,1,0,5,0,211,0,0,0,0,1,0,0,0,0,0,0,592,956.0,0,0,1,0,0.31899641577060933,0.02247191011235955
-9164496051662633868,620483,2364,1,0,6,0,43,0,253,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,307,0.0,0,0,1,0,0.16996047430830039,0.13953488372093023
-9160137931690642988,2669609,10538,145,0,3,0,569,0,599,1,0,0,0,1,0,4,2,139,0,0,1,0,0,0,0,0,0,0,0,1321,546.0,0,1,0,0,0.9499165275459098,0.005272407732864675
-9152850766560530678,695232,2577,1,0,0,0,44,0,296,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,344,0.0,0,0,1,0,0.14864864864864866,0.0
-9149638103223471972,111288,301,1,0,8,0,5,0,38,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0.0,0,0,1,0,0.13157894736842105,1.6
-9142504783939073602,1307391,4781,52,0,15,0,108,0,466,1,0,1,0,0,0,5,0,49,0,0,0,0,2,0,0,0,0,0,0,647,378.0,0,1,0,0,0.2317596566523605,0.1388888888888889
-9135441526336964374,832391,3075,14,0,4,0,42,0,349,1,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,412,890.0,0,0,1,0,0.12034383954154727,0.09523809523809523
-9121768325948172573,606241,2281,2,0,18,0,109,0,167,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,300,0.0,0,0,1,0,0.6526946107784432,0.1651376146788991
-9120324834744646047,842578,3198,4,0,13,0,147,0,247,1,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,417,1792.0,0,0,1,0,0.5951417004048583,0.08843537414965986
-9118395889496593789,934267,3369,9,0,0,0,14,0,435,1,0,0,0,1,0,3,2,4,0,0,0,0,1,0,0,0,0,0,0,462,505.0,0,1,0,0,0.03218390804597701,0.0
-9072363536588311296,363953,1365,7,0,1,0,22,0,145,1,0,1,0,0,2,4,1,0,0,0,1,0,0,0,2,0,0,0,0,180,377.0,0,1,0,0,0.15172413793103448,0.045454545454545456
-9052402946714855896,682981,2653,1,0,12,0,68,0,253,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,338,0.0,0,0,1,0,0.26877470355731226,0.17647058823529413
-9051971389219983595,705259,2580,7,0,9,0,37,0,291,1,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,349,666.0,0,1,0,0,0.12714776632302405,0.24324324324324326
-9039198197510877527,1317553,4958,10,0,8,0,172,0,457,1,0,1,0,2,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,652,465.0,0,1,0,0,0.37636761487964987,0.046511627906976744
-9023622140438142602,785998,2714,6,0,5,0,17,1,357,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,389,216.0,0,1,0,0,0.047619047619047616,0.29411764705882354
-9011467439998218454,770173,2892,42,0,3,1,42,1,286,1,0,1,0,0,0,5,0,37,0,0,0,0,2,0,0,0,0,0,0,381,1086.0,0,0,1,0,0.14685314685314685,0.07142857142857142
-9002994837987139567,933637,3495,4,0,3,0,164,0,286,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,462,1919.0,0,0,1,0,0.5734265734265734,0.018292682926829267
-8976124776423275387,769938,2883,12,0,6,0,96,0,262,1,0,2,0,2,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,381,571.0,0,1,0,0,0.366412213740458,0.0625
-8972713897746874121,1036519,3951,7,1,13,0,77,0,411,1,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,513,399.0,0,1,0,0,0.1873479318734793,0.16883116883116883
-8960672770887445765,40477,203,8,0,1,0,1,0,9,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,50.0,1,0,0,0,0.1111111111111111,1.0
-8957691948990934225,982082,3452,21,0,29,0,193,3,236,1,0,2,0,0,0,3,11,0,0,0,1,0,2,0,0,1,0,0,0,486,149.0,1,0,0,0,0.8177966101694916,0.15025906735751296
-8940937898728532665,1293401,5117,28,0,19,0,126,0,461,1,0,1,0,3,5,4,1,6,0,0,1,0,0,0,0,0,0,0,0,640,284.0,0,1,0,0,0.27331887201735355,0.15079365079365079
-8940778715386932147,780054,3032,1,0,5,0,81,0,294,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,386,0.0,0,0,1,0,0.2755102040816326,0.06172839506172839
-8940251175150617256,2367123,8929,5,0,7,1,244,0,910,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1171,1013.0,0,0,1,0,0.2681318681318681,0.028688524590163935
