CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,Avg_Engagement_per_visit
-9222442665376300000,242473,943,2,0,0,0,36,0,79,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,120,STNL to BP,,0,0,0,1,0.45569620253164556,0.0,0.0
-9219762487645540000,84858,331,0,0,0,0,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,STNL to BP,,0,0,0,1,0.10526315789473684,0.0,0.0
-9219156172471900000,4037,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,0.0,,0.0
-9219114118600400000,169764,674,0,0,0,0,7,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,STNL to BP,,0,0,0,1,0.09210526315789473,0.0,0.0
-9218976771547270000,297215,1192,13,0,1,0,71,0,62,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,147,BP to STH,0.0,0,0,1,0,1.1451612903225807,0.014084507042253521,6.0
-9215265768544290000,28252,102,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,STNL to BP,,0,0,0,1,0.07692307692307693,0.0,0.0
-9215066619833900000,181943,684,0,0,2,0,13,0,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,,0,0,0,1,0.17567567567567569,0.15384615384615385,0.0
-9215037069514760000,125334,433,0,0,0,0,0,0,59,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,STNL to BP,,0,0,0,1,0.0,,0.0
-9210585509680820000,127298,493,0,0,1,0,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,STNL to BP,,0,0,0,1,0.34782608695652173,0.0625,0.0
-9207749875624870000,266636,1093,3,0,2,0,65,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,STNL to BP,0.0,0,0,1,0,1.0483870967741935,0.03076923076923077,0.0
-9205982099518800000,6049,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STNL to BP,,0,0,0,1,,,0.0
-9195463358210250000,88876,331,0,0,3,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,STNL to BP,,0,0,0,1,0.1388888888888889,0.6,0.0
-9195189827231800000,42402,178,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,STNL to BP,,0,0,0,1,0.23529411764705882,0.0,0.0
-9193809917699710000,404043,1612,0,0,1,0,82,1,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,STNL to BP,,0,0,0,1,0.7130434782608696,0.012195121951219513,0.0
-9193042682645810000,206160,765,1,0,0,0,13,0,87,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102,STNL to BP,0.0,0,0,1,0,0.14942528735632185,0.0,0.0
-9192294345089580000,26244,110,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,STNL to BP,,0,0,0,1,0.8571428571428571,0.0,0.0
-9192050401161180000,86812,349,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,STNL to BP,,0,0,0,1,0.0,,0.0
-9191519626468160000,111104,444,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,,0,0,0,1,0.0,,0.0
