CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click
-9222442665376300000,274765,1031,2,0,3,0,34,0,96,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136,STNL to BP,0.0,0,0,1,0,0.3541666666666667,0.08823529411764706
-9219762487645540000,80818,299,0,0,0,0,2,0,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,STNL to BP,,0,0,0,1,0.05555555555555555,0.0
-9219156172471900000,8071,33,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,STNL to BP,,0,0,0,1,0.0,
-9219114118600400000,200106,773,1,2,0,0,8,0,87,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,99,STNL to BP,0.0,0,0,1,0,0.09195402298850575,0.0
-9218976771547270000,246658,904,10,0,1,0,56,1,54,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,122,BP to STH,0.0,0,0,1,0,1.037037037037037,0.017857142857142856
-9215265768544290000,38339,147,0,0,0,0,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,STNL to BP,,0,0,0,1,0.125,0.0
-9215066619833900000,123310,432,1,0,2,0,16,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,,0,0,0,1,0.38095238095238093,0.125
-9215037069514760000,92965,358,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,STNL to BP,,0,0,0,1,0.0,
-9210585509680820000,153544,619,1,0,2,0,19,0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,,0,0,0,1,0.35185185185185186,0.10526315789473684
-9207749875624870000,309034,1248,1,0,0,0,57,0,92,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,153,STNL to BP,,0,0,0,1,0.6195652173913043,0.0
-9205982099518800000,16134,25,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STNL to BP,,0,0,0,1,,
-9195463358210250000,92950,372,0,0,1,0,6,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,STNL to BP,,0,0,0,1,0.15789473684210525,0.16666666666666666
-9195189827231800000,52495,206,0,0,0,0,4,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,STNL to BP,,0,0,0,1,0.2,0.0
-9193809917699710000,434360,1781,0,0,0,1,76,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,STNL to BP,,0,0,0,1,0.5507246376811594,0.0
-9193042682645810000,181907,694,1,0,0,0,9,0,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,,0,0,0,1,0.1125,0.0
-9192294345089580000,30280,108,0,0,0,0,9,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,STNL to BP,,0,0,0,1,1.8,0.0
-9192050401161180000,84801,331,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,STNL to BP,,0,0,0,1,0.05,0.0
-9191519626468160000,145483,560,0,0,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,,0,0,0,1,0.0,
-9186231110670700000,179851,729,0,0,0,0,0,0,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,STNL to BP,,0,0,0,1,0.0,
-9184302387516650000,291054,1187,24,0,1,0,18,0,98,1,0,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,144,STNL to BP,0.0,0,0,1,0,0.1836734693877551,0.05555555555555555
-9183733701207790000,103066,364,0,0,0,0,5,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,STNL to BP,,0,0,0,1,0.11363636363636363,0.0
-9176873829256780000,297094,1082,2,0,10,1,34,1,97,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,STNL to BP,,0,0,0,1,0.35051546391752575,0.29411764705882354
-9175710202567780000,390061,1563,48,0,0,0,5,0,140,0,0,0,1,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,193,STNL to BP,19.0,1,0,0,0,0.03571428571428571,0.0
-9170966755697280000,438279,1669,1,0,0,0,83,0,131,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,217,STNL to BP,,0,0,0,1,0.6335877862595419,0.0
-9170027235381510000,107033,413,0,0,1,0,11,0,37,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,STNL to BP,,0,0,0,1,0.2972972972972973,0.09090909090909091
-9166592428907140000,113154,448,2,0,0,0,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,STNL to BP,,0,0,0,1,0.10204081632653061,0.0
-9163921367866380000,143483,536,1,0,2,0,7,0,59,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,71,STNL to BP,0.0,0,0,1,0,0.11864406779661017,0.2857142857142857
-9162854482841300000,125308,461,1,0,0,0,7,0,52,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,STNL to BP,0.0,0,0,1,0,0.1346153846153846,0.0
-9160061039427330000,289065,1044,12,0,6,0,30,0,93,0,0,0,0,0,2,0,10,0,0,0,0,0,0,2,0,0,0,0,143,STNL to BP,0.0,0,0,1,0,0.3225806451612903,0.2
-9159585656079250000,119242,438,0,0,0,0,6,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,STNL to BP,,0,0,0,1,0.11538461538461539,0.0
-9159373994065470000,155626,535,5,0,3,0,11,0,58,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,77,STNL to BP,,0,0,0,1,0.1896551724137931,0.2727272727272727
-9155981214299120000,90921,407,2,0,0,0,12,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,1080.0,0,0,1,0,0.3870967741935484,0.0
-9153997491441060000,307108,1262,0,0,0,0,63,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,STNL to BP,,0,0,0,1,0.7078651685393258,0.0
-9150039727310990000,147520,555,2,1,1,0,19,0,49,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,STNL to BP,2128.0,0,0,1,0,0.3877551020408163,0.05263157894736842
-9145948212786640000,204101,745,0,0,0,0,6,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,STNL to BP,,0,0,0,1,0.06315789473684211,0.0
-9142848134764360000,111150,428,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,,0,0,0,1,0.0,
-9141066939313830000,388103,1588,34,0,2,5,67,4,79,0,0,0,0,1,1,0,31,0,0,0,0,0,0,0,0,0,0,0,192,BP to STH,,0,0,0,1,0.8481012658227848,0.029850746268656716
-9138321112209010000,127351,454,0,0,1,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,STNL to BP,,0,0,0,1,0.0,inf
-9138288751863870000,143522,529,0,0,0,0,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,STNL to BP,,0,0,0,1,0.028985507246376812,0.0
-9135340124860260000,183925,681,0,0,1,0,14,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,STNL to BP,,0,0,0,1,0.18421052631578946,0.07142857142857142
-9133173829533220000,4041,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,,0,0,0,1,0.0,
-9132526790263680000,167700,623,1,0,0,0,20,0,60,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,83,STNL to BP,0.0,0,0,1,0,0.3333333333333333,0.0
-9131659193176950000,111141,425,0,0,0,0,9,0,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,,0,0,0,1,0.20454545454545456,0.0
-9125877098529820000,432323,1671,0,0,0,0,16,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,214,STNL to BP,,0,0,0,1,0.08121827411167512,0.0
