,ACTIVITY_CODE,Lost_STNL_BP,Lost_BP_STH,Current_BP,Current_STNL,Current_STH
5,email_send,334.2211083577382,514.1729452054794,430.838,208.25208333333333,528.16
3,email_open,87.7284298265375,247.66095890410958,227.34666666666666,74.19966666666667,318.236
13,page_view,14.14057220094616,73.67979452054794,45.117333333333335,23.22925,246.582
1,email_click,4.4897499436810095,20.845890410958905,17.453333333333333,5.5535,34.692
0,attend,2.4282496057670646,8.047945205479452,7.1033333333333335,3.7941666666666665,20.546
11,initial_creation,3.4208154989862583,3.9452054794520546,3.704,3.344,4.572
9,forward_received,0.688218067132237,2.0342465753424657,2.2186666666666666,1.1901666666666666,2.612
8,form_submission,0.3492903807163776,1.1318493150684932,1.5613333333333332,1.1358333333333333,2.86
6,email_sub,1.407749493129083,1.3373287671232876,1.044,0.9133333333333333,1.024
10,forward_send,0.8659608019824285,2.953767123287671,1.9866666666666666,0.8749166666666667,10.54
18,primary_purchase_single,0.11162423969362469,0.5821917808219178,0.9026666666666666,0.7388333333333333,0.802
16,primary_purchase_club,0.06499211534129308,0.18493150684931506,0.606,0.5664166666666667,0.38
21,secondary_purchase,0.17008335210633024,0.5393835616438356,0.5693333333333334,0.46391666666666664,0.6
12,merch_purchase,0.31425996846136517,0.8972602739726028,0.7873333333333333,0.46266666666666667,1.166
22,secondary_sale,0.29330930389727417,1.0376712328767124,0.8346666666666667,0.27491666666666664,5.4
4,email_outgoing_to_customer,0.1186077945483217,1.875,0.676,0.17108333333333334,3.426
2,email_incoming_from_customer,0.11894570849290381,1.3664383561643836,0.7106666666666667,0.16041666666666668,3.594
7,email_unsub,0.16028384771344897,0.125,0.12133333333333333,0.104,0.074
19,primary_purchase_sth,0.13054742059022303,0.3921232876712329,0.2633333333333333,0.07625,1.9
17,primary_purchase_ga,0.023316062176165803,0.03424657534246575,0.06733333333333333,0.035666666666666666,0.07
26,forward_receipt,,,0.036,0.031083333333333334,0.046
23,survey_submission,0.013967109709394007,0.04452054794520548,0.07866666666666666,0.020416666666666666,0.254
24,text_incoming_from_customer,0.010362694300518135,0.046232876712328765,0.011333333333333334,0.009,0.296
25,text_outgoing_to_customer,0.007321468799279117,0.02226027397260274,0.005333333333333333,0.006083333333333333,0.216
15,phonecall_outgoing_to_customer,0.002928587519711647,0.02226027397260274,0.006,0.00325,0.054
20,primary_purchase_suite,0.0015769317413831944,0.0017123287671232876,0.0026666666666666666,0.0021666666666666666,0.102
14,phonecall_incoming_from_customer,0.0010137418337463392,0.005136986301369863,0.004,0.0011666666666666668,0.018
