"ACTIVITY_CODE_primary_purchase_club","ACTIVITY_CODE_primary_purchase_ga","ACTIVITY_CODE_primary_purchase_single","ACTIVITY_CODE_primary_purchase_sth","ACTIVITY_CODE_primary_purchase_suite","ACTIVITY_CODE_secondary_purchase","ACTIVITY_CODE_secondary_sale","ACTIVITY_CODE_merch_purchase","perc_open","perc_click","CONVERSION"
0,0,0,0,0,0.000042718612499466,0,0,0.376146788990826,0.0487804878048781,"0"
0,0,0,0,0,0,0,0,0.0208333333333333,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.183333333333333,0,"0"
0,0,0,0,0,0,0,0,0.0714285714285714,0,"0"
0,0,0,0,0,0,0,0,0.188679245283019,0.3,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0.000192901234567901,0,0,0,0,0,0,0.264150943396226,0.0714285714285714,"0"
0,0,0,0,0,0,0,0,0.915492957746479,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.131578947368421,0.2,"0"
0,0,0,0,0,0,0,0,0.117647058823529,0,"0"
0,0,0,0,0,0,0,0,0.633587786259542,0.0240963855421687,"0"
0,0,0,0,0,0,0,0,0.226415094339623,0,"0"
0,0,0,0,0,0,0,0.00444444444444444,2.25,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.123893805309735,0,"0"
0,0,0,0,0,0,0,0,0.0333333333333333,0,"0"
0,0,0,0,0,0,0,0,0.352272727272727,0.225806451612903,"0"
0,0,0,0,0,0,0,0.0000295368620037807,0.0375,0,"0"
0,0,0,0,0,0,0,0,0.462121212121212,0.0491803278688525,"0"
0,0,0,0,0,0,0,0,0.235294117647059,0,"0"
0,0,0,0,0,0,0,0,0.130434782608696,0,"0"
0,0,0,0,0,0,0,0,0.102941176470588,0.714285714285714,"0"
0,0,0,0,0,0,0,0,0.101694915254237,0,"0"
0.0000517571554267378,0,0,0,0,0.0000517571554267378,0,0,0.347368421052632,0.121212121212121,"0"
0,0,0,0,0,0,0,0,0.102040816326531,0,"0"
0,0,0,0,0,0,0,0,0.41304347826087,0.0526315789473684,"0"
0,0,0,0,0,0,0,0,0.259259259259259,0,"0"
0,0,0,0,0,0,0,0,0.605504587155963,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.515625,0,"0"
0,0,0,0,0,0,0,0,0.0113636363636364,0,"0"
0,0,0,0,0,0,0,0,0.0227272727272727,0,"0"
0,0,0,0,0,0,0,0,0.015625,0,"0"
0,0,0,0,0,0,0,0,0.0740740740740741,0,"0"
0,0,0,0,0,0,0,0,0.166666666666667,0,"0"
0,0,0,0,0,0,0,0,2,0,"0"
0,0,0,0,0,0,0,0,0.350877192982456,0,"0"
0,0,0,0,0,0,0,0,0.173076923076923,0,"0"
0,0,0,0,0,0,0,0,0.0460829493087558,0,"0"
0,0,0,0,0,0,0,0,0.144444444444444,0,"0"
0,0,0,0,0,0,0,0,0.615384615384615,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.102040816326531,0,"0"
0,0,0,0,0,0,0,0,0.0769230769230769,0,"0"
0,0,0,0,0,0,0,0,0.0101010101010101,0,"0"
0,0,0,0,0,0,0,0,0.0123456790123457,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.111111111111111,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0.0000385787585355503,0,0,0,0,0,0,0.67032967032967,0.0655737704918033,"0"
0,0,0,0,0,0.0000743162901307967,0,0,1.2156862745098,0,"0"
0,0,0,0,0,0,0,0,1.43243243243243,0.0471698113207547,"0"
0,0,0,0,0,0,0,0,0.25,0.6,"0"
0,0,0,0,0,0,0,0,0.0396039603960396,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.288888888888889,0.0769230769230769,"0"
0,0,0,0,0,0,0,0,0.380952380952381,0,"0"
0,0,0,0,0,0,0,0,0.0849056603773585,0,"0"
0,0,0,0,0,0,0,0,0.857142857142857,0,"0"
0,0,0,0,0,0,0,0,0.025,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.0776699029126214,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.027027027027027,0,"0"
0,0,0,0,0,0,0,0,1.39130434782609,0.0625,"0"
0,0,0,0,0,0,0,0,0.563636363636364,0.032258064516129,"0"
0,0,0,0,0,0,0,0,0.972222222222222,0,"0"
0,0,0,0,0,0,0,0,0.0828402366863905,0.0714285714285714,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.8,0.125,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.28125,0.0555555555555556,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0.0000525099768956102,0,0,0,0,0.259615384615385,0,"0"
0,0.0000525099768956102,0,0,0,0,0,0,0.726027397260274,0.132075471698113,"0"
0,0,0,0,0,0,0,0,0.346153846153846,0,"0"
0,0,0,0,0,0,0,0,0.35,0,"0"
0,0,0,0,0,0,0,0,0.180952380952381,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.0866666666666667,0.153846153846154,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.115384615384615,0,"0"
0,0,0,0,0,0,0,0,0.236842105263158,0.0555555555555556,"0"
0,0,0,0,0,0,0,0,0.0170940170940171,0.5,"0"
0,0,0,0,0,0,0,0.0000358564308508731,0.259541984732824,0,"0"
0,0,0,0,0,0,0,0,0.516949152542373,0.0491803278688525,"0"
0,0,0,0,0,0,0,0,0.0666666666666667,0,"0"
0,0,0,0,0,0,0,0,0.04,0,"0"
0,0,0,0,0,0,0,0,0.0344827586206897,0,"0"
0,0,0,0,0,0,0,0,0.390243902439024,0,"0"
0,0,0,0,0,0,0,0,0.485148514851485,0,"0"
0,0,0,0,0,0,0,0,0.25,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,0,0,0.138888888888889,0,"0"
0,0,0,0,0,0,0,0,0.028735632183908,0,"0"
0,0,0,0,0,0,0,0,0.894736842105263,0,"0"
0,0,0,0,0,0,0,0,0.413793103448276,0.0833333333333333,"0"
0,0,0,0,0,0,0,0,0.1,0.0714285714285714,"0"
0,0,0,0,0,0,0,0,0.485294117647059,0.0606060606060606,"0"
0,0,0,0,0,0,0,0,0.075,0,"0"
0,0,0,0,0,0,0,0,0.146067415730337,0.153846153846154,"0"
0,0,0,0,0,0,0,0,0.130434782608696,0,"0"
0,0,0.0000573921028466483,0,0,0.0000573921028466483,0,0.0000573921028466483,0.155339805825243,0.125,"0"
0,0,0,0,0,0,0,0,0.05,0,"0"
0,0,0,0,0,0,0,0,0.0324909747292419,0.222222222222222,"0"
0,0,0,0,0,0,0,0,0.0746268656716418,0.2,"0"
0,0,0,0,0,0,0,0,0.222222222222222,0,"0"
0,0,0,0,0,0,0,0,0.169811320754717,0,"0"
0,0,0,0,0,0,0,0,0.28,0,"0"
0,0,0,0,0,0,0,0,0.0862068965517241,0,"0"
0,0,0.0000170753363841268,0,0,0,0,0,0.228723404255319,0.116279069767442,"0"
0,0,0,0,0,0,0,0,0.131578947368421,0.2,"0"
0,0,0,0,0,0,0,0,0.210526315789474,0,"0"
0,0,0,0,0,0,0,0,0.0563380281690141,0,"0"
0,0,0,0,0,0,0,0,0.372727272727273,0.0731707317073171,"0"
0,0,0,0,0,0,0,0,1.05504587155963,0.0173913043478261,"0"
