CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-8885147912080390000,236605,916,55,0,2,0,27,0,33,0,0,0,3,5,0,0,45,0,0,0,0,2,0,0,0,117,STNL to BP,59.0,1,0,0,0.8181818181818182,0.07407407407407407
-8496666001637960000,165588,640,3,0,2,0,10,0,67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,82,STNL to BP,726.0,0,1,0,0.14925373134328357,0.2
-8388548147625030000,238538,910,40,0,0,0,14,0,64,0,0,0,0,1,0,0,35,0,0,0,0,2,0,2,0,118,BP to STH,726.0,0,1,0,0.21875,0.0
-8193341906487970000,196174,660,51,0,2,0,6,1,37,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,0,97,BP to STH,0.0,0,0,1,0.16216216216216217,0.3333333333333333
-8061130536551660000,319667,1264,45,0,6,2,57,3,44,0,0,0,0,1,1,0,41,0,0,0,0,1,0,0,0,158,STNL to BP,0.0,0,0,1,1.2954545454545454,0.10526315789473684
-8010133615502340000,117357,406,21,0,0,0,3,0,34,0,0,0,0,1,0,0,13,0,0,0,0,1,0,4,0,58,STNL to BP,62.0,1,0,0,0.08823529411764706,0.0
-7957659082598930000,282670,906,2,0,0,0,81,0,57,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,140,BP to STH,1080.0,0,0,1,1.4210526315789473,0.0
-7940613589745420000,173997,664,63,0,0,0,2,1,20,0,0,0,0,0,0,0,54,0,0,0,0,2,0,0,0,86,STNL to BP,203.0,0,1,0,0.1,0.0
-7644875987034220000,48559,150,6,0,1,0,5,0,11,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,24,STNL to BP,0.0,0,0,1,0.45454545454545453,0.2
-7601140319469650000,200210,733,53,0,2,0,4,0,40,0,0,0,0,2,0,1,46,0,0,0,0,1,0,0,0,99,STNL to BP,166.0,1,0,0,0.1,0.5
-7579129756111380000,76885,296,25,0,0,0,2,1,10,0,0,0,0,2,0,0,15,0,0,0,0,2,0,4,0,38,STNL to BP,44.0,1,0,0,0.2,0.0
-7240899418767690000,147700,505,53,0,1,0,2,0,17,0,0,0,0,3,0,0,47,0,0,0,0,1,0,1,0,73,STNL to BP,78.0,1,0,0,0.11764705882352941,0.5
-7182712046965190000,204244,839,34,0,22,0,6,1,38,0,0,0,0,2,0,0,31,0,0,0,0,1,0,0,0,101,STNL to BP,0.0,0,0,1,0.15789473684210525,3.6666666666666665
-7169266210296410000,115268,448,12,0,0,0,9,0,36,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,57,STNL to BP,0.0,0,0,1,0.25,0.0
-7013844965038690000,1482482,5483,444,1,27,0,113,0,146,1,0,1,6,12,0,0,390,0,0,0,0,8,0,0,0,733,BP to STH,155.0,1,0,0,0.773972602739726,0.23893805309734514
-7013085429801100000,290787,1244,8,0,6,0,48,0,82,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,144,STNL to BP,363.0,0,1,0,0.5853658536585366,0.125
-6945035221464900000,177780,719,1,0,1,0,55,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,STNL to BP,0.0,0,0,1,1.7741935483870968,0.01818181818181818
-6840557186119600000,8073,30,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,STNL to BP,0.0,0,0,1,,
-6780295903086840000,86999,329,28,0,1,2,7,0,4,0,0,0,0,4,1,0,10,0,0,0,0,10,0,2,0,43,STNL to BP,18.0,1,0,0,1.75,0.14285714285714285
-6777942753257000000,186049,730,38,0,3,0,9,0,42,0,0,1,0,0,0,0,34,0,0,0,0,1,0,0,0,92,STNL to BP,0.0,0,0,1,0.21428571428571427,0.3333333333333333
-6385787825357890000,179992,589,11,0,0,0,37,0,41,0,0,0,1,2,0,0,7,0,0,0,0,1,0,0,0,89,STNL to BP,147.0,1,0,0,0.9024390243902439,0.0
-6271950297166480000,82751,291,7,0,0,0,5,0,29,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,41,STNL to BP,0.0,0,0,1,0.1724137931034483,0.0
-6142628046751170000,301182,1222,55,0,1,0,33,0,60,0,0,0,0,1,0,0,44,0,0,0,0,2,0,0,0,149,STNL to BP,1456.0,0,0,1,0.55,0.030303030303030304
-6138895782748630000,70779,266,4,0,0,0,1,0,28,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,35,STNL to BP,54.0,1,0,0,0.03571428571428571,0.0
-6038549214255460000,103190,354,16,0,3,0,3,0,29,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,51,STNL to BP,0.0,0,0,1,0.10344827586206896,1.0
-6026085141324530000,115036,507,3,0,0,0,12,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57,STNL to BP,0.0,0,0,1,0.2857142857142857,0.0
-5984988893924780000,30304,115,1,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,STNL to BP,0.0,0,0,1,0.5555555555555556,0.0
-5965299164784460000,276561,1126,2,0,2,0,66,0,67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,137,STNL to BP,1080.0,0,0,1,0.9850746268656716,0.030303030303030304
-5623366667990780000,133541,442,14,0,0,0,6,0,46,0,0,0,0,1,0,0,6,0,0,0,0,1,0,2,0,66,STNL to BP,93.0,1,0,0,0.13043478260869565,0.0
-5576681996760360000,68691,252,1,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,STNL to BP,0.0,0,0,1,0.13793103448275862,0.0
-5465176577155670000,179891,702,6,0,16,0,31,0,36,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,89,STNL to BP,2.0,1,0,0,0.8611111111111112,0.5161290322580645
-5438904297767410000,181644,699,6,0,0,0,38,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,STNL to BP,0.0,0,0,1,0.8260869565217391,0.0
-5407253129063370000,133341,539,1,0,5,0,45,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,STNL to BP,0.0,0,0,1,3.0,0.1111111111111111
-5030674902807640000,283146,1047,61,0,4,0,27,0,48,0,0,0,1,2,0,0,39,0,0,0,0,7,0,0,0,140,STNL to BP,104.0,1,0,0,0.5625,0.14814814814814814
-4997203215615380000,165585,594,2,0,0,0,11,0,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,82,STNL to BP,1080.0,0,0,1,0.15942028985507245,0.0
-4940536901556010000,309400,1262,113,0,3,0,5,0,31,0,0,1,0,2,0,0,110,0,0,0,0,1,0,0,0,153,BP to STH,0.0,0,0,1,0.16129032258064516,0.6
-4939237054244710000,222240,739,1,0,0,0,59,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,110,STNL to BP,0.0,0,0,1,1.18,0.0
-4902504496224830000,101159,400,5,0,1,0,16,0,28,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,50,BP to STH,0.0,0,0,1,0.5714285714285714,0.0625
-4874369824113940000,632446,2411,26,0,8,0,168,0,111,0,0,1,5,6,0,0,0,0,0,0,0,2,0,0,0,313,STNL to BP,61.0,1,0,0,1.5135135135135136,0.047619047619047616
-4678473777411840000,230544,817,64,0,7,0,10,0,33,0,0,1,0,0,0,0,60,0,0,0,0,1,0,0,0,114,STNL to BP,0.0,0,0,1,0.30303030303030304,0.7
-4403628639358990000,121245,411,9,0,3,0,11,0,37,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,60,STNL to BP,2178.0,0,0,1,0.2972972972972973,0.2727272727272727
