CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,AVG_TIME_DAYS_purchase,0-200_purchase,200-800_purchase,800+_purchase,percent_open,percent_click
-8496666001637960000,56656,171,1,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,STNL to BP,0.0,0,0,1,0.125,0.0
-8061130536551660000,103035,392,1,0,1,0,24,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,STNL to BP,0.0,0,0,1,0.96,0.041666666666666664
-7579129756111380000,12127,25,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,6,STNL to BP,904.0,0,0,1,0.0,
-7511031576172140000,70817,236,7,0,0,0,2,0,26,0,0,1,0,0,4,0,0,0,1,0,1,0,0,35,STNL to BP,102.0,1,0,0,0.07692307692307693,0.0
-7240899418767690000,34344,139,1,0,1,0,6,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,STNL to BP,0.0,0,0,1,0.6666666666666666,0.16666666666666666
-7182712046965190000,113300,454,26,1,14,0,0,1,14,0,1,1,0,0,24,0,0,0,1,0,0,0,0,56,STNL to BP,48.0,1,0,0,0.0,inf
-7152065285643840000,145505,537,13,0,0,0,11,0,48,0,0,0,0,0,8,0,0,0,2,0,0,0,0,72,STNL to BP,1456.0,0,0,1,0.22916666666666666,0.0
-6945035221464900000,56485,228,1,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,STNL to BP,0.0,0,0,1,2.0,0.0
-6840557186119600000,84976,346,34,0,0,0,0,1,7,0,0,1,0,0,31,0,0,0,1,0,1,0,0,42,STNL to BP,127.0,1,0,0,0.0,
-6780295903086840000,62721,233,23,0,1,0,3,0,4,0,1,5,0,0,7,0,0,0,9,0,0,0,0,31,STNL to BP,23.0,1,0,0,0.75,0.3333333333333333
-6777942753257000000,66702,257,2,0,4,0,5,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,STNL to BP,0.0,0,0,1,0.22727272727272727,0.8
-6138895782748630000,64649,259,1,0,1,0,9,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,STNL to BP,0.0,0,0,1,0.42857142857142855,0.1111111111111111
-6026085141324530000,80693,277,1,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,STNL to BP,0.0,0,0,1,0.6956521739130435,0.0
-6018330742315410000,58588,233,1,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,STNL to BP,0.0,0,0,1,0.037037037037037035,0.0
-5781700714531510000,10113,28,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,STNL to BP,30.0,1,0,0,0.0,
-5623366667990780000,157587,571,11,0,0,0,6,0,61,0,1,2,0,0,1,0,0,0,2,0,0,0,0,78,STNL to BP,776.0,0,1,0,0.09836065573770492,0.0
-5581069531542260000,234598,784,26,0,6,0,47,0,37,0,0,0,0,0,23,0,0,0,1,0,1,0,0,116,STNL to BP,144.0,1,0,0,1.2702702702702702,0.1276595744680851
-5503608332589810000,54648,253,15,0,0,0,2,0,10,0,0,1,0,0,11,0,0,0,1,0,0,0,0,27,BP to STH,0.0,0,0,1,0.2,0.0
-5465176577155670000,64681,230,2,0,4,0,14,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32,STNL to BP,0.0,0,0,1,1.1666666666666667,0.2857142857142857
-5438904297767410000,281066,1080,24,0,6,1,52,1,54,1,0,0,0,0,19,1,0,0,2,0,1,0,0,139,STNL to BP,322.0,0,1,0,0.9629629629629629,0.11538461538461539
-5030674902807640000,66585,269,5,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,STNL to BP,367.0,0,1,0,0.5555555555555556,0.0
-4997203215615380000,36312,123,1,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,STNL to BP,0.0,0,0,1,0.21428571428571427,0.0
-4939237054244710000,135571,474,56,0,0,0,2,0,9,0,0,0,0,0,52,0,0,0,1,0,0,0,0,67,STNL to BP,0.0,0,0,1,0.2222222222222222,0.0
-4902504496224830000,28312,103,4,0,0,0,0,1,9,0,0,2,0,0,0,0,0,0,1,0,0,0,0,14,BP to STH,0.0,0,0,1,0.0,
-4182645369851240000,159838,584,56,0,3,0,3,1,16,0,0,4,0,0,50,0,0,0,1,0,0,0,0,79,STNL to BP,0.0,0,0,1,0.1875,1.0
-4047239132518550000,127471,461,27,0,1,0,23,0,12,0,0,0,0,0,26,0,0,0,1,0,0,0,0,63,STNL to BP,0.0,0,0,1,1.9166666666666667,0.043478260869565216
-3855265102936360000,100860,356,2,0,0,0,32,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,50,STNL to BP,79.0,1,0,0,2.0,0.0
-3617512968313550000,182000,709,47,0,2,0,23,0,18,0,0,2,0,0,27,0,0,0,10,0,0,0,0,90,STNL to BP,180.0,1,0,0,1.2777777777777777,0.08695652173913043
-3177697347150650000,186016,726,20,0,13,0,23,0,36,1,0,9,0,0,0,0,0,0,5,0,3,0,0,92,STNL to BP,106.0,1,0,0,0.6388888888888888,0.5652173913043478
-2763790440788200000,200309,747,65,0,2,0,17,0,15,0,0,3,0,0,58,0,1,0,1,0,1,0,0,99,BP to STH,50.0,1,0,0,1.1333333333333333,0.11764705882352941
-2551074705679590000,236617,822,40,0,5,0,58,1,12,1,0,1,0,0,35,0,0,0,1,0,0,0,0,117,STNL to BP,0.0,0,0,1,4.833333333333333,0.08620689655172414
-2542748376973910000,20233,75,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,STNL to BP,0.0,0,0,1,0.125,0.0
-2474326314480530000,34363,121,1,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,STNL to BP,0.0,0,0,1,0.45454545454545453,0.0
