CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9217062962888802692,1220546,4749,43,0,8,0,93,0,454,1,0,0,0,0,0,5,0,41,0,0,1,0,1,0,0,0,0,0,0,604,0,0.20484581497797358,0.08602150537634409,686
-9199634802404310361,1196717,4862,216,0,2,0,89,0,279,1,0,1,0,1,0,5,0,211,0,0,0,0,1,0,0,0,0,0,0,592,1,0.31899641577060933,0.02247191011235955,956
-9160137931690642988,2669609,10538,145,0,3,0,569,0,599,1,0,0,0,1,0,4,2,139,0,0,1,0,0,0,0,0,0,0,0,1321,3,0.9499165275459098,0.005272407732864675,546
-9142504783939073602,1307391,4781,52,0,15,0,108,0,466,1,0,1,0,0,0,5,0,49,0,0,0,0,2,0,0,0,0,0,0,647,6,0.2317596566523605,0.1388888888888889,378
-9135441526336964374,832391,3075,14,0,4,0,42,0,349,1,0,0,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,412,7,0.12034383954154727,0.09523809523809523,890
-9120324834744646047,842578,3198,4,0,13,0,147,0,247,1,0,1,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,417,9,0.5951417004048583,0.08843537414965986,1792
-9118395889496593789,934267,3369,9,0,0,0,14,0,435,1,0,0,0,1,0,3,2,4,0,0,0,0,1,0,0,0,0,0,0,462,10,0.03218390804597701,0.0,505
-9072363536588311296,363953,1365,7,0,1,0,22,0,145,1,0,1,0,0,2,4,1,0,0,0,1,0,0,0,2,0,0,0,0,180,11,0.15172413793103448,0.045454545454545456,377
-9051971389219983595,705259,2580,7,0,9,0,37,0,291,1,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,349,13,0.12714776632302405,0.24324324324324326,666
-9039198197510877527,1317553,4958,10,0,8,0,172,0,457,1,0,1,0,2,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,652,14,0.37636761487964987,0.046511627906976744,465
-9023622140438142602,785998,2714,6,0,5,0,17,1,357,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,389,15,0.047619047619047616,0.29411764705882354,216
-9011467439998218454,770173,2892,42,0,3,1,42,1,286,1,0,1,0,0,0,5,0,37,0,0,0,0,2,0,0,0,0,0,0,381,16,0.14685314685314685,0.07142857142857142,1086
