CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click
-9222442665376300000,293019,1086,2,0,2,0,48,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,145,STNL to BP,0,0.5161290322580645,0.041666666666666664
-9219762487645540000,92951,388,0,0,0,0,5,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,STNL to BP,1,0.125,0.0
-9219156172471900000,6054,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STNL to BP,2,0.0,
-9219114118600400000,161685,677,2,1,0,0,6,0,71,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,STNL to BP,3,0.08450704225352113,0.0
-9218976771547270000,307334,1171,12,0,0,0,66,0,73,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,152,BP to STH,4,0.9041095890410958,0.0
-9215265768544290000,42371,194,0,0,0,0,1,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,STNL to BP,5,0.05263157894736842,0.0
-9215066619833900000,175846,701,0,0,3,2,11,0,69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87,STNL to BP,6,0.15942028985507245,0.2727272727272727
-9215037069514760000,84893,339,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,STNL to BP,7,0.0,
-9210585509680820000,137391,508,0,0,1,0,15,0,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,STNL to BP,8,0.3,0.06666666666666667
-9207749875624870000,272718,1038,0,0,1,0,57,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,STNL to BP,9,0.7402597402597403,0.017543859649122806
-9205982099518800000,10090,18,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STNL to BP,10,,
-9195463358210250000,90921,363,0,0,2,0,4,0,35,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,11,0.11428571428571428,0.5
-9195189827231800000,46426,208,0,0,0,0,4,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,STNL to BP,12,0.2222222222222222,0.0
-9193809917699710000,442361,1772,0,0,0,2,86,0,129,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,219,STNL to BP,13,0.6666666666666666,0.0
-9193042682645810000,226367,876,1,0,0,0,20,0,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,STNL to BP,14,0.2222222222222222,0.0
-9192294345089580000,24219,108,0,0,0,0,5,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,STNL to BP,15,0.8333333333333334,0.0
-9192050401161180000,90848,380,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,16,0.0,
-9191519626468160000,149497,614,0,0,0,0,1,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,STNL to BP,17,0.013888888888888888,0.0
-9186231110670700000,169748,692,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,STNL to BP,18,0.0,
-9184302387516650000,260724,983,26,0,1,0,14,0,88,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,129,STNL to BP,19,0.1590909090909091,0.07142857142857142
-9183733701207790000,101039,364,0,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,STNL to BP,20,0.06382978723404255,0.0
-9176873829256780000,262774,959,2,0,6,0,43,1,77,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,130,STNL to BP,21,0.5584415584415584,0.13953488372093023
-9175710202567780000,371831,1472,32,0,0,0,5,0,145,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,184,STNL to BP,22,0.034482758620689655,0.0
-9170966755697280000,367682,1530,1,0,1,0,52,0,126,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,182,STNL to BP,23,0.4126984126984127,0.019230769230769232
-9170027235381510000,98933,368,0,0,0,0,14,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,STNL to BP,24,0.4117647058823529,0.0
-9166592428907140000,101012,376,2,0,0,0,6,0,41,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,50,STNL to BP,25,0.14634146341463414,0.0
-9163921367866380000,141490,552,0,0,2,0,11,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,STNL to BP,26,0.19298245614035087,0.18181818181818182
-9162854482841300000,145539,521,0,0,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,STNL to BP,27,0.058823529411764705,0.0
-9160061039427330000,315243,1223,18,0,1,0,30,0,107,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,156,STNL to BP,28,0.2803738317757009,0.03333333333333333
-9159585656079250000,101031,371,0,0,0,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,STNL to BP,29,0.13636363636363635,0.0
-9159373994065470000,171783,639,3,0,1,1,24,1,55,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,85,STNL to BP,30,0.43636363636363634,0.041666666666666664
-9155981214299120000,84819,350,0,0,0,0,6,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,STNL to BP,31,0.17142857142857143,0.0
-9153997491441060000,319190,1276,0,0,0,0,59,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,STNL to BP,32,0.6020408163265306,0.0
-9150039727310990000,175845,671,1,0,2,0,30,0,53,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,87,STNL to BP,33,0.5660377358490566,0.06666666666666667
-9145948212786640000,195992,769,0,0,0,0,12,0,83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,STNL to BP,34,0.14457831325301204,0.0
-9142848134764360000,96982,378,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,STNL to BP,35,0.0,
-9141066939313830000,337537,1277,19,0,3,2,65,3,73,1,0,0,0,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,167,BP to STH,36,0.8904109589041096,0.046153846153846156
-9138321112209010000,123296,497,0,0,0,0,1,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,37,0.01694915254237288,0.0
-9138288751863870000,129328,503,0,0,0,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,STNL to BP,38,0.06666666666666667,0.0
-9135340124860260000,189950,728,1,0,1,0,15,0,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94,STNL to BP,39,0.19480519480519481,0.06666666666666667
-9133173829533220000,14147,65,0,0,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STNL to BP,40,0.3333333333333333,1.0
-9132526790263680000,143490,578,3,0,0,0,10,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,STNL to BP,41,0.17543859649122806,0.0
-9131659193176950000,76799,266,0,0,0,0,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,42,0.15151515151515152,0.0
-9125877098529820000,505112,1928,1,0,4,0,10,0,233,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,250,STNL to BP,43,0.04291845493562232,0.4
-9124802017494390000,246532,943,0,0,0,0,15,0,106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,STNL to BP,44,0.14150943396226415,0.0
-9122946206915550000,192045,723,0,0,0,0,39,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,95,STNL to BP,45,0.7222222222222222,0.0
-9119993899555080000,212069,825,0,0,2,0,41,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,BP to STH,46,0.6612903225806451,0.04878048780487805
-9112376958004150000,6056,28,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,STNL to BP,47,0.0,
-9110130450418360000,177867,574,1,0,3,0,33,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,BP to STH,48,0.6470588235294118,0.09090909090909091
-9106789275594020000,121257,432,0,0,0,0,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,STNL to BP,49,0.09090909090909091,0.0
-9105974147267800000,90939,339,0,0,0,0,1,0,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,50,0.023255813953488372,0.0
-9103704020692830000,181867,745,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,STNL to BP,51,0.0,
-9103662111032250000,179815,720,0,0,0,0,3,0,84,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,STNL to BP,52,0.03571428571428571,0.0
-9102295113460310000,86886,288,0,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,STNL to BP,53,0.04878048780487805,0.0
-9099305581764320000,123274,478,0,0,0,0,8,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,54,0.15384615384615385,0.0
-9099186439833010000,139476,566,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,STNL to BP,55,0.0,
-9091992196727950000,307131,1181,3,0,2,0,50,0,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152,STNL to BP,56,0.5208333333333334,0.04
-9091622007276560000,246295,912,10,3,0,0,67,0,38,1,1,0,1,0,2,0,7,0,0,1,0,0,0,2,0,0,0,0,122,STNL to BP,57,1.763157894736842,0.0
-9089972943543480000,555874,1897,0,0,11,1,170,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,BP to STH,58,1.8279569892473118,0.06470588235294118
-9083861086642960000,495086,1899,6,0,3,0,128,0,104,1,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,245,STNL to BP,59,1.2307692307692308,0.0234375
-9082916968247020000,76814,312,0,0,3,0,8,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,60,0.3076923076923077,0.375
-9082892854321140000,488876,1952,0,0,0,0,17,0,224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242,STNL to BP,61,0.07589285714285714,0.0
-9082865493043750000,2018,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,62,,
-9079559145603840000,78817,319,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,STNL to BP,63,0.02631578947368421,0.0
-9075775869044440000,111130,432,0,0,0,0,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,STNL to BP,64,0.12244897959183673,0.0
-9074597576514800000,131387,496,1,0,1,0,16,0,46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,STNL to BP,65,0.34782608695652173,0.0625
-9073860935808760000,406111,1675,2,0,0,0,14,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,STNL to BP,66,0.07567567567567568,0.0
-9070705000368630000,167634,620,0,0,0,0,24,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,STNL to BP,67,0.41379310344827586,0.0
-9070141407250860000,99013,367,0,0,0,0,1,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,STNL to BP,68,0.02127659574468085,0.0
-9066312756031300000,198098,797,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,STNL to BP,69,0.0,
-9064083346981290000,272770,1098,2,3,1,0,8,0,119,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,135,STNL to BP,70,0.06722689075630252,0.125
-9063360039229430000,173771,674,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,STNL to BP,71,0.0,
-9062313049686070000,88933,336,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,STNL to BP,72,0.0,
-9061811078491170000,494827,1820,0,0,5,0,141,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,STNL to BP,73,1.4242424242424243,0.03546099290780142
-9060367440245710000,173635,780,0,0,1,0,20,0,63,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,STNL to BP,74,0.31746031746031744,0.05
-9059795855721730000,266567,1039,0,0,0,0,61,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,STNL to BP,75,0.8591549295774648,0.0
-9057394223369230000,416115,1645,0,0,1,0,11,0,193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,STNL to BP,76,0.05699481865284974,0.09090909090909091
-9055623292428120000,72759,286,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,STNL to BP,77,0.0,
-9053663487547030000,32304,134,1,0,0,0,4,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,STNL to BP,78,0.4,0.0
-9052974175472450000,2023,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STNL to BP,79,,
-9051815994568110000,153586,571,0,0,0,0,14,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,STNL to BP,80,0.22950819672131148,0.0
-9050228401953070000,12111,57,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,STNL to BP,81,0.0,
-9042636493948470000,379918,1336,4,0,0,2,39,2,139,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,188,BP to STH,82,0.2805755395683453,0.0
-9042020665792750000,4046,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,STNL to BP,83,0.0,
-9040637841836220000,50500,188,0,0,0,0,1,0,21,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,STNL to BP,84,0.047619047619047616,0.0
-9040186546145990000,123282,511,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,STNL to BP,85,0.0,
-9039277127145240000,254556,1034,9,0,1,0,38,2,75,1,0,1,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,126,STNL to BP,86,0.5066666666666667,0.02631578947368421
