CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9042636493948470000,165696,594,2,0,0,0,15,0,64,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,BP to STH,82,0.234375,0.0,0
-9039277127145240000,151581,573,7,2,0,0,25,0,40,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,75,STNL to BP,86,0.625,0.0,1642
-8996271829069540000,58665,206,23,2,1,0,1,0,2,0,0,0,0,1,0,0,22,0,0,1,1,0,0,0,0,0,0,0,29,STNL to BP,105,0.5,1.0,197
-8884808814381310000,90956,352,2,0,1,0,9,0,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,166,0.2727272727272727,0.1111111111111111,817
-8871864083560840000,62699,208,3,0,0,0,1,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,STNL to BP,176,0.037037037037037035,0.0,920
-8793425143468170000,20225,83,7,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,BP to STH,225,0.0,,161
-8792430926245250000,159689,652,2,0,0,0,3,0,74,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,79,BP to STH,226,0.04054054054054054,0.0,1192
-8790783138282960000,155609,576,6,0,0,0,13,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,BP to STH,228,0.22413793103448276,0.0,70
-8727439453942030000,145527,585,3,1,0,0,3,0,65,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,STNL to BP,264,0.046153846153846156,0.0,406
-8637511519674230000,22242,79,5,0,1,0,4,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,STNL to BP,316,inf,0.25,0
-8518159134819470000,94983,389,5,0,0,0,13,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,STNL to BP,366,0.4482758620689655,0.0,182
-8496666001637960000,339438,1311,10,0,4,0,25,1,127,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,168,STNL to BP,381,0.1968503937007874,0.16,713
-8488631334579710000,14155,72,6,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,STNL to BP,391,,,1087
-8390908053708580000,208128,821,12,0,0,0,37,0,52,1,0,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,103,STNL to BP,435,0.7115384615384616,0.0,287
-8388548147625030000,523512,2053,51,0,9,0,40,0,157,0,0,0,0,1,1,0,46,0,0,0,0,0,0,0,2,0,0,1,259,BP to STH,437,0.25477707006369427,0.225,1344
-8309930230271000000,297183,1204,57,0,2,0,27,0,61,0,0,0,4,4,0,2,44,0,0,0,0,0,0,0,0,0,0,0,147,STNL to BP,476,0.4426229508196721,0.07407407407407407,289
-8276288557332780000,42430,181,2,0,0,0,7,0,10,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,21,STNL to BP,487,0.7,0.0,1425
-8263513273979840000,76807,298,5,0,1,0,4,0,27,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,STNL to BP,489,0.14814814814814814,0.25,267
-8259413043945900000,177782,690,2,0,0,0,17,0,66,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,88,STNL to BP,491,0.25757575757575757,0.0,656
-8181289636090670000,177886,686,24,0,4,0,28,0,31,0,0,0,2,0,1,0,20,0,0,0,0,0,0,1,0,0,0,0,88,BP to STH,535,0.9032258064516129,0.14285714285714285,870
-8153194949980950000,175889,652,6,0,0,0,6,0,75,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,BP to STH,547,0.08,0.0,253
-8129502917787390000,78819,260,3,0,0,0,0,0,35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,39,STNL to BP,560,0.0,,380
-8119756829850890000,181939,760,8,0,2,1,31,0,48,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,BP to STH,563,0.6458333333333334,0.06451612903225806,25
-8061130536551660000,957962,3776,85,0,7,3,184,0,195,0,0,0,0,1,0,2,71,0,0,0,0,0,0,0,0,0,0,0,474,STNL to BP,593,0.9435897435897436,0.03804347826086957,1421
-8038412065825310000,94984,361,3,0,0,0,13,0,30,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,47,STNL to BP,608,0.43333333333333335,0.0,878
-8007026357425250000,90945,341,2,0,0,0,8,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,STNL to BP,621,0.22857142857142856,0.0,105
-8001445683255190000,93003,389,6,0,1,0,16,0,22,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,46,STNL to BP,623,0.7272727272727273,0.0625,450
-7999683792011150000,99013,380,7,0,1,0,10,0,29,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,49,STNL to BP,625,0.3448275862068966,0.1,574
-7957659082598930000,622428,2205,17,0,15,4,137,7,128,0,0,1,1,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,308,BP to STH,643,1.0703125,0.10948905109489052,916
-7889039134284560000,664839,2484,39,0,13,0,86,0,190,1,0,0,2,1,0,0,33,0,0,0,0,0,0,0,3,0,0,0,329,STNL to BP,679,0.45263157894736844,0.1511627906976744,22
-7885468659499940000,68768,285,22,0,1,0,4,0,6,0,0,0,0,3,1,2,12,0,0,0,0,0,0,0,0,0,0,0,34,STNL to BP,682,0.6666666666666666,0.25,965
-7883351765470570000,84909,321,2,2,2,0,4,0,32,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,STNL to BP,683,0.125,0.5,269
-7877764438076520000,236344,831,4,0,0,0,27,2,84,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,117,BP to STH,684,0.32142857142857145,0.0,728
-7873064312720940000,149590,547,7,0,2,0,16,0,49,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,74,STNL to BP,689,0.32653061224489793,0.125,504
-7849885666031650000,438833,1695,124,0,6,0,25,1,60,0,0,0,3,0,1,3,116,0,0,0,0,0,0,0,0,0,0,0,217,BP to STH,706,0.4166666666666667,0.24,304
