CUSTOMER_KEY,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9157915483923582597,5,0,68,0,892,0,503,1,0,7,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,1.7733598409542743,0.07623318385650224,-279
-9116334708896324979,85,0,22,0,116,0,376,1,0,0,0,0,0,3,0,82,0,0,0,0,1,0,1,1,0,0,603,2,0.30851063829787234,0.1896551724137931,-28
-9012908103242928757,42,0,9,0,90,0,296,1,0,0,0,5,0,3,0,24,0,0,0,0,0,0,0,1,0,0,441,5,0.30405405405405406,0.1,12
-8969161225324756307,27,0,39,0,351,0,279,1,0,0,0,5,3,3,0,0,0,0,0,0,0,0,6,0,0,0,700,6,1.2580645161290323,0.1111111111111111,119
-8953369186187304802,4,0,43,0,222,0,324,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,597,7,0.6851851851851852,0.19369369369369369,-335
-8944279931800903083,14,0,21,1,383,1,229,1,0,0,0,0,0,4,0,4,0,0,0,0,2,0,0,0,0,0,654,8,1.6724890829694323,0.05483028720626632,-1029
-8908214432887373553,26,0,10,0,121,0,592,1,0,0,0,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,753,9,0.20439189189189189,0.08264462809917356,0
-8904016174467606188,311,0,22,6,125,6,494,1,0,2,0,0,2,3,0,294,0,0,1,0,1,0,1,9,0,0,969,10,0.25303643724696356,0.176,17
-8823143030947066599,274,0,10,0,288,0,265,1,0,1,0,22,9,5,0,214,0,0,0,0,1,0,0,0,0,0,843,11,1.0867924528301887,0.034722222222222224,0
-8764571205881441145,8,0,14,0,104,0,459,1,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,589,12,0.22657952069716775,0.1346153846153846,423
-8724293523212305214,29,0,3,0,428,0,328,1,0,0,0,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,792,13,1.3048780487804879,0.007009345794392523,-87
-8563383892407729413,261,0,35,2,386,4,1188,1,0,3,0,5,0,3,0,225,0,0,0,0,3,0,0,0,0,0,1880,16,0.32491582491582494,0.09067357512953368,57
-8546414107986006688,46,0,77,1,413,1,1169,1,0,7,0,6,0,3,8,5,0,0,0,0,0,0,2,0,0,0,1711,17,0.3532934131736527,0.1864406779661017,-113
-8272766310669968539,22,0,5,8,3,6,54,1,0,0,0,2,0,4,0,9,0,0,0,0,1,0,1,0,0,0,103,23,0.05555555555555555,1.6666666666666667,-43
-8262710112382693632,26,0,11,0,114,0,250,1,0,0,0,6,0,3,0,0,1,0,0,0,2,0,0,0,0,0,406,24,0.456,0.09649122807017543,64
-8256754319375022645,241,0,3,0,66,0,215,1,0,0,0,12,4,5,4,187,0,0,0,0,0,0,0,4,0,0,531,25,0.30697674418604654,0.045454545454545456,19
-8214881762988851175,43,0,39,0,207,0,957,2,1,5,0,1,0,3,0,32,0,0,0,0,0,0,3,0,0,0,1252,27,0.21630094043887146,0.18840579710144928,88
-8137007490398234626,6,1,7,2,104,1,274,1,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,399,29,0.3795620437956204,0.0673076923076923,491
-8107343631148959525,21,0,15,0,621,0,316,1,0,3,0,1,0,3,0,5,0,0,0,0,2,0,0,0,0,0,977,30,1.9651898734177216,0.024154589371980676,-186
