CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,text_incoming_from_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-8388548147625030000,262759,1010,41,0,7,0,11,0,71,0,1,0,0,0,1,33,0,0,0,0,2,0,0,1,0,130,BP to STH,1,0.15492957746478872,0.6363636363636364,508
-8309930230271000000,170017,805,58,0,0,0,1,0,25,0,0,0,2,0,0,49,0,0,0,0,5,0,0,0,0,84,STNL to BP,2,0.04,0.0,0
-8173577555714020000,186134,781,61,0,3,0,3,0,25,0,0,0,1,0,0,52,0,0,0,0,1,0,0,2,0,92,STNL to BP,3,0.12,1.0,79
-8045231550381900000,190085,786,62,0,2,0,4,0,24,0,2,0,1,2,0,57,0,0,0,0,1,0,0,1,0,94,STNL to BP,4,0.16666666666666666,0.5,29
-7957659082598930000,66603,245,5,0,0,0,12,0,16,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,33,BP to STH,5,0.75,0.0,84
-7940613589745420000,165911,597,59,0,1,0,1,0,21,0,1,0,0,0,0,53,0,0,0,0,3,0,0,0,0,82,STNL to BP,6,0.047619047619047616,1.0,0
-7242606166903490000,434430,1659,26,0,6,0,40,1,142,0,0,0,1,0,0,20,0,1,0,0,3,0,0,0,0,215,STNL to BP,8,0.28169014084507044,0.15,631
-7182712046965190000,351879,1353,58,0,23,0,24,4,64,0,0,0,2,1,0,53,0,0,0,0,2,1,0,0,0,174,STNL to BP,9,0.375,0.9583333333333334,549
-7013844965038690000,97019,350,7,0,3,0,15,0,22,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,48,BP to STH,12,0.6818181818181818,0.2,0
-7013085429801100000,436675,1742,98,0,5,0,29,0,84,0,0,0,2,0,0,86,0,0,0,0,3,0,0,0,0,216,STNL to BP,13,0.34523809523809523,0.1724137931034483,1065
-6945035221464900000,161782,605,3,0,1,0,23,0,53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,80,STNL to BP,14,0.4339622641509434,0.043478260869565216,88
-6840557186119600000,6064,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,STNL to BP,15,,,152
-6780295903086840000,101113,407,41,0,1,0,5,0,3,0,0,0,5,0,0,12,0,0,0,0,14,0,0,1,0,50,STNL to BP,16,1.6666666666666667,0.2,130
-6777942753257000000,383936,1364,43,0,17,2,39,2,86,0,0,0,1,1,0,37,0,0,0,0,3,0,0,0,0,190,STNL to BP,17,0.45348837209302323,0.4358974358974359,1018
-6709383533699500000,196157,754,9,0,12,0,10,0,66,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,97,STNL to BP,19,0.15151515151515152,1.2,104
-6138895782748630000,248857,1041,85,0,1,0,1,0,33,0,0,0,2,0,0,76,0,0,0,0,1,0,0,6,3,123,STNL to BP,22,0.030303030303030304,1.0,41
-6038549214255460000,155606,524,14,0,8,0,37,0,18,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,77,STNL to BP,23,2.0555555555555554,0.21621621621621623,547
-5984988893924780000,171853,667,27,0,4,0,15,0,39,0,0,0,5,0,0,11,0,0,0,0,3,0,0,1,0,85,STNL to BP,26,0.38461538461538464,0.26666666666666666,608
-5781700714531510000,93036,321,23,0,12,0,3,2,6,0,0,1,16,0,0,0,0,0,0,0,3,0,0,0,0,46,STNL to BP,27,0.5,4.0,243
-5465176577155670000,143507,548,3,0,10,0,16,0,42,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,71,STNL to BP,30,0.38095238095238093,0.625,166
-5103492095618900000,133363,382,10,0,3,0,43,0,9,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,66,STNL to BP,31,4.777777777777778,0.06976744186046512,219
-5030674902807640000,119369,470,37,0,1,0,6,0,15,0,0,0,1,0,0,32,0,0,0,0,2,0,0,0,0,59,STNL to BP,32,0.4,0.16666666666666666,0
-4678473777411840000,242678,906,61,1,5,0,4,0,49,0,1,0,0,0,0,54,0,0,1,0,1,0,0,0,0,120,STNL to BP,35,0.08163265306122448,1.25,172
-4403628639358990000,145593,512,5,0,2,0,9,0,56,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,72,STNL to BP,36,0.16071428571428573,0.2222222222222222,729
-4254066073819660000,678553,2775,10,0,7,0,237,0,82,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,336,STNL to BP,37,2.8902439024390243,0.029535864978902954,454
-4247508622357650000,127466,421,4,0,1,0,18,1,39,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,63,BP to STH,38,0.46153846153846156,0.05555555555555555,65
-3923518654205990000,521636,1963,79,0,18,4,98,2,57,0,1,0,1,0,0,68,0,0,0,0,3,0,0,4,0,258,STNL to BP,42,1.719298245614035,0.1836734693877551,183
-3855265102936360000,185952,751,7,0,11,0,29,0,45,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,92,STNL to BP,43,0.6444444444444445,0.3793103448275862,199
-3617512968313550000,301275,1212,73,0,2,0,32,0,42,0,0,0,2,0,0,58,0,0,0,0,12,0,0,0,0,149,STNL to BP,45,0.7619047619047619,0.0625,197
-3432599289707270000,232579,805,22,0,13,0,13,1,66,0,1,1,2,0,0,10,0,0,0,0,3,0,0,0,0,115,STNL to BP,46,0.19696969696969696,1.0,326
-3177697347150650000,177812,755,33,0,1,0,8,0,46,0,0,0,10,0,0,0,0,0,0,0,8,0,0,2,0,88,STNL to BP,47,0.17391304347826086,0.125,189
-2763790440788200000,640833,2505,88,0,8,0,114,0,106,0,1,1,3,1,0,77,0,0,0,0,3,0,0,1,0,317,BP to STH,49,1.0754716981132075,0.07017543859649122,182
-2530589426755820000,145542,573,25,0,1,0,39,0,6,0,0,0,0,1,0,20,0,0,0,0,3,0,0,2,0,72,STNL to BP,50,6.5,0.02564102564102564,274
-2399213078742300000,147550,515,14,0,1,1,20,0,37,0,1,0,2,0,0,3,0,0,0,0,2,0,0,0,0,73,STNL to BP,51,0.5405405405405406,0.05,1901
-2282368375795160000,1283641,4445,43,0,14,0,495,0,83,0,0,0,1,0,0,31,0,0,0,0,3,0,0,2,0,635,STNL to BP,53,5.963855421686747,0.028282828282828285,274
-1951295317821700000,129141,476,9,0,0,0,19,0,36,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,64,STNL to BP,55,0.5277777777777778,0.0,352
-1618159338198320000,297045,1161,12,0,2,0,61,0,72,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,147,STNL to BP,58,0.8472222222222222,0.03278688524590164,46
-1534522437201560000,131450,473,2,0,2,0,17,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,65,STNL to BP,59,0.38636363636363635,0.11764705882352941,144
-1428966403003590000,252777,816,52,0,4,0,54,0,14,1,1,0,0,0,0,45,0,0,0,0,2,0,0,2,0,125,BP to STH,60,3.857142857142857,0.07407407407407407,242
-1333339848689470000,173915,682,24,0,0,0,19,0,42,0,0,0,2,1,1,20,0,0,0,0,1,0,0,0,0,86,STNL to BP,62,0.4523809523809524,0.0,161
-1321964538845750000,208186,861,2,0,2,0,72,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,103,STNL to BP,63,2.6666666666666665,0.027777777777777776,64
-1144522599890590000,242622,849,38,0,1,0,15,0,65,0,0,0,0,1,0,32,0,0,0,0,3,0,0,2,0,120,STNL to BP,64,0.23076923076923078,0.06666666666666667,544
-746345597428304000,281234,1139,120,0,1,0,0,0,18,0,0,0,1,0,0,113,0,0,0,0,2,0,0,0,0,139,STNL to BP,65,0.0,inf,0
-559906069191513000,745358,2825,17,0,19,0,241,0,92,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,369,BP to STH,66,2.619565217391304,0.07883817427385892,362
-280904408775428000,121339,437,5,0,2,0,7,0,46,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,60,STNL to BP,67,0.15217391304347827,0.2857142857142857,85
-211759868792619000,339689,1247,50,0,4,0,20,0,94,0,1,0,1,0,0,45,0,0,0,0,2,0,0,1,0,168,STNL to BP,68,0.2127659574468085,0.2,1085
193578500584297030,234534,868,26,0,6,0,14,1,69,0,0,0,3,0,1,17,0,0,0,0,3,0,0,0,0,116,STNL to BP,70,0.2028985507246377,0.42857142857142855,163
204167928895183190,345331,1394,25,0,1,0,54,0,91,0,0,0,2,0,0,15,0,0,0,0,3,0,0,0,0,171,STNL to BP,71,0.5934065934065934,0.018518518518518517,904
542334528791688444,440958,1558,61,0,10,0,89,0,58,0,1,0,3,0,0,51,0,0,0,0,2,0,0,1,0,218,STNL to BP,74,1.5344827586206897,0.11235955056179775,179
567644861735852055,369816,1198,22,0,8,0,55,1,97,0,0,0,2,0,0,17,0,0,0,0,3,0,0,0,0,183,STNL to BP,75,0.5670103092783505,0.14545454545454545,1081
578417161791703271,268761,1003,10,0,4,0,37,0,81,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,133,STNL to BP,76,0.4567901234567901,0.10810810810810811,368
628776946787236106,420543,1612,40,0,4,0,83,0,81,0,0,0,5,0,0,33,0,0,0,0,2,0,0,0,0,208,BP to STH,77,1.0246913580246915,0.04819277108433735,360
669157830432312925,218356,793,7,0,0,0,24,0,77,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,108,STNL to BP,78,0.3116883116883117,0.0,447
677338413095527761,337241,1281,9,0,3,0,60,0,95,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,167,STNL to BP,79,0.631578947368421,0.05,440
678324460595472309,503444,2020,77,0,9,0,46,0,117,0,1,1,1,0,2,62,0,0,0,0,2,0,0,0,0,249,STNL to BP,80,0.39316239316239315,0.1956521739130435,137
794040573486514658,131283,459,2,0,0,0,11,0,52,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,65,STNL to BP,81,0.21153846153846154,0.0,2178
1150879983939229082,141486,541,5,0,7,0,10,0,48,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,70,STNL to BP,82,0.20833333333333334,0.7,81
1234276751550834786,248552,976,9,0,4,0,34,0,76,0,0,0,2,0,0,1,0,0,0,0,3,0,0,2,0,123,STNL to BP,83,0.4473684210526316,0.11764705882352941,544
