CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_unsub,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-9039277127145240000,72800,301,10,0,0,0,6,0,20,0,0,0,1,0,0,4,0,0,0,1,1,0,0,36,STNL to BP,0,0.3,0.0,40
-8496666001637960000,335633,1176,22,0,5,1,24,3,109,0,0,0,0,1,1,15,1,0,0,2,3,0,0,166,STNL to BP,2,0.22018348623853212,0.20833333333333334,107
-8309930230271000000,149778,694,49,0,0,0,4,0,21,0,0,1,0,0,0,43,0,0,0,4,0,0,0,74,STNL to BP,4,0.19047619047619047,0.0,12
-7957659082598930000,216274,850,8,0,6,0,53,0,39,0,0,1,2,0,0,0,0,0,0,1,0,1,0,107,BP to STH,8,1.358974358974359,0.11320754716981132,105
-7940613589745420000,190163,767,66,0,1,0,1,0,25,0,0,0,1,1,0,51,0,0,0,4,0,0,0,94,STNL to BP,9,0.04,1.0,175
-7885468659499940000,38444,135,13,0,0,2,0,0,3,0,1,0,1,0,0,7,0,0,0,1,1,0,0,19,STNL to BP,10,0.0,,71
-7579129756111380000,10107,37,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,5,STNL to BP,14,,,0
-7242606166903490000,357631,1339,31,0,2,0,20,0,124,0,0,1,1,0,0,26,0,0,0,3,0,0,0,177,STNL to BP,16,0.16129032258064516,0.1,628
-7240899418767690000,218403,898,57,0,0,0,0,0,51,0,1,0,1,0,0,51,0,0,0,1,2,0,0,108,STNL to BP,17,0.0,,67
-7182712046965190000,240376,982,5,0,3,0,38,0,73,0,0,0,3,0,0,0,0,0,0,2,0,0,0,119,STNL to BP,18,0.5205479452054794,0.07894736842105263,1095
-7169266210296410000,121399,456,21,0,1,0,9,0,29,0,0,0,0,0,0,19,0,0,0,1,1,0,0,60,STNL to BP,19,0.3103448275862069,0.1111111111111111,38
-7013844965038690000,147488,549,8,0,3,0,20,0,42,0,0,1,2,0,0,0,0,0,0,2,0,0,0,73,BP to STH,21,0.47619047619047616,0.15,703
-7013085429801100000,163730,611,4,0,13,0,27,0,37,0,0,0,0,0,1,0,0,0,0,1,0,0,0,81,STNL to BP,22,0.7297297297297297,0.48148148148148145,94
-6780295903086840000,101141,389,39,0,0,1,8,0,2,0,0,3,8,0,0,12,0,0,0,13,1,0,0,50,STNL to BP,23,4.0,0.0,55
-6138895782748630000,206212,812,8,0,4,0,14,0,75,0,0,0,0,0,0,0,0,0,0,2,5,0,1,102,STNL to BP,26,0.18666666666666668,0.2857142857142857,60
-6038549214255460000,159714,648,26,0,0,0,11,0,42,0,0,0,0,0,0,22,0,0,0,2,1,0,0,79,STNL to BP,27,0.2619047619047619,0.0,364
-6018330742315410000,187661,733,9,0,0,0,12,0,72,0,0,0,1,0,1,0,0,0,0,2,0,0,0,93,STNL to BP,28,0.16666666666666666,0.0,176
-5623366667990780000,317297,1164,7,0,5,0,32,0,113,0,0,0,2,0,0,0,0,0,0,2,0,0,0,157,STNL to BP,29,0.2831858407079646,0.15625,368
-5576681996760360000,117178,423,5,0,0,0,4,0,49,0,0,0,2,0,0,0,0,0,0,2,1,0,0,58,STNL to BP,30,0.08163265306122448,0.0,809
-5465176577155670000,177919,625,9,0,8,0,24,0,47,0,0,0,2,0,0,0,0,0,0,4,0,0,0,88,STNL to BP,31,0.5106382978723404,0.3333333333333333,300
-5438904297767410000,638655,2260,70,0,12,1,127,1,105,0,0,0,1,0,0,65,0,0,0,2,0,0,0,316,STNL to BP,32,1.2095238095238094,0.09448818897637795,1809
-5407253129063370000,739987,2951,107,0,24,0,155,1,78,0,3,0,3,1,0,91,0,0,0,4,0,0,0,366,STNL to BP,33,1.9871794871794872,0.15483870967741936,720
-5103492095618900000,58613,179,7,0,2,0,10,0,10,0,0,0,0,0,0,4,0,0,0,2,1,0,0,29,STNL to BP,34,1.0,0.2,904
-5030674902807640000,147697,568,38,0,3,0,15,0,17,0,0,1,1,0,0,33,0,0,0,1,0,0,0,73,STNL to BP,35,0.8823529411764706,0.2,101
-4997203215615380000,93071,299,2,0,1,0,2,2,38,0,0,0,0,0,0,0,0,0,0,1,1,1,0,46,STNL to BP,36,0.05263157894736842,0.5,108
-4939237054244710000,320966,1239,10,0,0,0,48,0,101,0,0,0,1,0,0,0,0,0,0,3,1,0,0,159,STNL to BP,37,0.4752475247524752,0.0,603
-4902504496224830000,12123,38,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,BP to STH,38,0.0,,1095
-4874369824113940000,260736,1115,15,0,8,0,46,0,59,0,0,7,2,1,0,0,0,0,0,1,0,0,0,129,STNL to BP,40,0.7796610169491526,0.17391304347826086,29
-4403628639358990000,238550,930,46,0,3,0,23,0,46,0,0,0,3,0,0,39,0,0,0,2,0,0,0,118,STNL to BP,42,0.5,0.13043478260869565,728
-4254066073819660000,915489,3660,15,0,31,0,258,0,149,0,2,1,0,0,0,0,0,0,0,3,6,0,0,453,STNL to BP,43,1.7315436241610738,0.12015503875968993,71
-4247508622357650000,311238,1121,8,0,1,0,28,2,115,0,0,0,4,0,0,0,0,0,0,4,0,0,0,154,BP to STH,44,0.24347826086956523,0.03571428571428571,756
-3617512968313550000,234694,866,61,0,1,0,31,0,22,0,0,0,2,1,0,41,0,0,0,17,0,0,0,116,STNL to BP,48,1.4090909090909092,0.03225806451612903,13
-3432599289707270000,82872,297,3,0,4,0,6,0,28,0,1,0,0,0,0,0,0,0,0,1,1,0,0,41,STNL to BP,49,0.21428571428571427,0.6666666666666666,81
-3177697347150650000,82956,276,13,0,1,0,0,0,27,0,0,0,1,0,0,0,0,0,0,9,2,0,0,41,STNL to BP,50,0.0,inf,20
-3085494572020240000,218287,674,5,0,3,0,30,1,69,0,0,0,3,0,0,0,0,0,0,2,0,0,0,108,STNL to BP,51,0.43478260869565216,0.1,2178
-2763790440788200000,349254,1254,10,0,2,0,39,0,122,0,0,0,0,0,0,0,0,0,0,3,2,0,0,173,BP to STH,53,0.319672131147541,0.05128205128205128,270
-2474326314480530000,127399,521,16,0,4,0,7,0,36,0,0,0,0,0,0,13,0,0,0,1,1,0,0,63,STNL to BP,54,0.19444444444444445,0.5714285714285714,99
-2399213078742300000,179853,702,3,0,6,0,8,0,72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,89,STNL to BP,55,0.1111111111111111,0.75,368
-2391493692381240000,278932,935,36,0,1,1,12,1,87,0,0,0,0,0,0,30,0,0,0,3,0,0,0,138,STNL to BP,56,0.13793103448275862,0.08333333333333333,1089
-2291493129650890000,388113,1522,33,0,2,0,63,0,94,0,0,0,0,0,0,30,0,0,0,2,1,0,0,192,STNL to BP,57,0.6702127659574468,0.031746031746031744,364
-2192958718224770000,93073,331,5,0,1,0,19,0,21,0,0,0,0,0,0,3,0,0,0,1,1,0,0,46,STNL to BP,59,0.9047619047619048,0.05263157894736842,108
-1531847696147910000,181594,753,7,0,0,0,45,0,38,0,0,0,1,0,0,0,0,0,1,2,1,0,0,90,STNL to BP,63,1.1842105263157894,0.0,140
-1497196556130980000,190263,814,35,0,5,3,25,2,23,0,0,0,3,1,0,25,0,0,0,1,1,0,0,94,BP to STH,64,1.0869565217391304,0.2,120
-1428966403003590000,178114,845,38,0,2,0,22,0,26,0,0,0,2,0,0,30,0,0,0,1,4,0,0,88,BP to STH,65,0.8461538461538461,0.09090909090909091,38
-1373367938364100000,538089,1841,71,0,4,1,63,1,125,0,1,0,0,1,0,62,0,0,0,2,5,0,0,266,STNL to BP,66,0.504,0.06349206349206349,101
-1206154528558190000,199760,769,4,0,0,0,22,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,99,STNL to BP,68,0.3013698630136986,0.0,352
-1144522599890590000,147541,560,28,0,0,0,1,0,44,0,0,0,1,0,0,21,0,0,0,2,0,0,0,73,STNL to BP,69,0.022727272727272728,0.0,1497
-759786816263672000,66604,228,2,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33,STNL to BP,70,0.631578947368421,0.0,59
-746345597428304000,248860,1020,97,0,0,0,4,0,22,0,0,0,1,0,0,93,0,0,0,2,0,0,0,123,STNL to BP,71,0.18181818181818182,0.0,0
-617465245550037000,335703,1279,84,0,13,0,20,0,49,0,2,0,0,0,1,75,0,0,0,1,0,0,0,166,BP to STH,72,0.40816326530612246,0.65,166
-467539037840078000,196239,835,72,0,3,1,15,3,3,0,0,0,0,0,0,63,0,0,0,1,4,0,0,97,BP to STH,73,5.0,0.2,46
-403823781018565000,167996,769,58,0,1,0,1,0,22,0,0,0,0,1,0,52,0,0,0,1,4,0,0,83,BP to STH,74,0.045454545454545456,1.0,47
-255907151874046000,311146,1193,34,0,2,0,40,0,78,0,0,1,0,0,0,28,0,0,0,2,0,0,0,154,STNL to BP,76,0.5128205128205128,0.05,904
-178040560375735000,99090,366,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,2,0,0,49,BP to STH,78,0.0,,102
-74112019732765900,394528,1427,82,0,7,0,76,0,30,0,0,3,12,0,0,54,0,0,0,3,1,0,0,195,STNL to BP,79,2.533333333333333,0.09210526315789473,152
-44117088159091100,238347,924,16,0,0,0,30,0,72,0,0,0,1,0,0,13,0,0,0,2,0,0,0,118,STNL to BP,80,0.4166666666666667,0.0,1809
193578500584297030,161782,589,24,0,1,0,9,0,46,0,1,0,1,0,0,15,0,0,0,3,0,0,0,80,STNL to BP,81,0.1956521739130435,0.1111111111111111,0
