CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase
-7579129756111380000,12127,25,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,6,STNL to BP,2,0.0,,904
-7511031576172140000,70817,236,7,0,0,0,2,0,26,0,0,1,0,0,4,0,0,0,1,0,1,0,0,35,STNL to BP,3,0.07692307692307693,0.0,102
-7182712046965190000,113300,454,26,1,14,0,0,1,14,0,1,1,0,0,24,0,0,0,1,0,0,0,0,56,STNL to BP,5,0.0,inf,48
-7152065285643840000,145505,537,13,0,0,0,11,0,48,0,0,0,0,0,8,0,0,0,2,0,0,0,0,72,STNL to BP,6,0.22916666666666666,0.0,1456
-6840557186119600000,84976,346,34,0,0,0,0,1,7,0,0,1,0,0,31,0,0,0,1,0,1,0,0,42,STNL to BP,8,0.0,,127
-6780295903086840000,62721,233,23,0,1,0,3,0,4,0,1,5,0,0,7,0,0,0,9,0,0,0,0,31,STNL to BP,9,0.75,0.3333333333333333,23
-5781700714531510000,10113,28,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,STNL to BP,14,0.0,,30
-5623366667990780000,157587,571,11,0,0,0,6,0,61,0,1,2,0,0,1,0,0,0,2,0,0,0,0,78,STNL to BP,15,0.09836065573770492,0.0,776
-5581069531542260000,234598,784,26,0,6,0,47,0,37,0,0,0,0,0,23,0,0,0,1,0,1,0,0,116,STNL to BP,16,1.2702702702702702,0.1276595744680851,144
-5438904297767410000,281066,1080,24,0,6,1,52,1,54,1,0,0,0,0,19,1,0,0,2,0,1,0,0,139,STNL to BP,19,0.9629629629629629,0.11538461538461539,322
-5030674902807640000,66585,269,5,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,STNL to BP,20,0.5555555555555556,0.0,367
-3855265102936360000,100860,356,2,0,0,0,32,0,16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,50,STNL to BP,26,2.0,0.0,79
-3617512968313550000,182000,709,47,0,2,0,23,0,18,0,0,2,0,0,27,0,0,0,10,0,0,0,0,90,STNL to BP,27,1.2777777777777777,0.08695652173913043,180
-3177697347150650000,186016,726,20,0,13,0,23,0,36,1,0,9,0,0,0,0,0,0,5,0,3,0,0,92,STNL to BP,28,0.6388888888888888,0.5652173913043478,106
-2763790440788200000,200309,747,65,0,2,0,17,0,15,0,0,3,0,0,58,0,1,0,1,0,1,0,0,99,BP to STH,29,1.1333333333333333,0.11764705882352941,50
-1951295317821700000,80849,333,5,0,0,0,13,0,22,0,0,3,0,0,0,0,0,1,1,0,0,0,0,40,STNL to BP,35,0.5909090909090909,0.0,118
-1618159338198320000,165734,656,24,0,1,0,14,0,43,0,0,2,0,0,14,0,0,0,3,0,5,0,0,82,STNL to BP,36,0.32558139534883723,0.07142857142857142,311
-1531847696147910000,97115,380,27,0,0,0,7,0,14,0,0,1,0,0,23,0,0,0,1,0,2,0,0,48,STNL to BP,38,0.5,0.0,87
-1428966403003590000,125316,433,21,0,0,0,27,1,13,0,0,2,0,0,15,0,0,0,2,0,2,0,0,62,BP to STH,39,2.076923076923077,0.0,565
-1333339848689470000,82957,314,14,1,1,0,14,0,11,0,1,1,0,0,12,0,0,0,1,0,0,0,0,41,STNL to BP,40,1.2727272727272727,0.07142857142857142,74
-746345597428304000,151726,624,64,0,0,0,1,0,10,0,0,2,0,0,56,0,0,0,3,0,0,0,0,75,STNL to BP,42,0.1,0.0,811
-617465245550037000,479011,2010,58,0,10,0,95,2,72,2,2,1,0,1,42,0,1,0,3,0,0,0,0,237,BP to STH,43,1.3194444444444444,0.10526315789473684,304
-44117088159091100,93009,344,5,0,0,0,2,0,39,0,0,1,0,0,1,0,0,0,2,0,0,0,0,46,STNL to BP,46,0.05128205128205128,0.0,729
567644861735852055,117139,409,4,0,1,0,14,0,39,0,0,2,0,0,0,0,0,0,2,0,0,0,0,58,STNL to BP,49,0.358974358974359,0.07142857142857142,1432
3984603102462921359,226131,792,2,0,9,0,59,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,112,STNL to BP,65,1.4047619047619047,0.15254237288135594,1080
4389818764552366946,165641,627,13,0,6,0,21,0,42,0,0,0,0,0,8,0,0,0,2,0,0,0,0,82,STNL to BP,67,0.5,0.2857142857142857,1809
4876473610588366160,64768,335,4,0,3,0,13,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32,BP to STH,69,1.0833333333333333,0.23076923076923078,144
5158091684828912007,46421,155,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,BP to STH,73,0.0,,162
6019253034883342048,62661,190,4,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,STNL to BP,76,0.038461538461538464,0.0,1809
6035482707323323387,50529,205,4,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,25,STNL to BP,77,0.4,0.0,84
6153090004140980367,86997,383,24,0,1,0,0,0,18,0,0,0,0,0,22,0,0,0,1,0,1,0,0,43,STNL to BP,78,0.0,inf,183
6207896775180062030,147630,556,43,0,1,0,2,0,27,0,1,0,0,0,39,0,0,0,1,0,0,0,0,73,STNL to BP,79,0.07407407407407407,0.5,167
6361242316918545801,125345,513,9,0,2,1,21,1,28,0,0,3,0,0,3,0,0,0,2,0,0,0,0,62,STNL to BP,83,0.75,0.09523809523809523,717
6498433799265601470,93026,358,3,0,5,0,5,0,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46,STNL to BP,84,0.15151515151515152,1.0,133
6677788661377412166,82956,305,21,0,2,0,4,1,13,0,0,1,0,0,16,0,0,0,1,0,1,0,0,41,STNL to BP,85,0.3076923076923077,0.5,69
6682784193447934012,137413,583,3,0,1,0,9,0,55,0,0,1,0,0,0,0,0,0,2,0,0,0,0,68,STNL to BP,86,0.16363636363636364,0.1111111111111111,368
6689388510626547984,305147,1178,3,0,2,0,95,0,51,0,0,0,0,0,0,0,0,0,2,0,0,0,0,151,STNL to BP,87,1.8627450980392157,0.021052631578947368,452
7232269491368354331,234592,899,72,0,4,0,1,0,38,1,0,0,1,0,67,0,0,0,1,0,2,0,0,116,STNL to BP,90,0.02631578947368421,4.0,66
7399842491957983303,91037,355,24,0,1,0,6,0,14,0,0,0,0,0,18,0,0,0,2,0,0,0,0,45,BP to STH,91,0.42857142857142855,0.16666666666666666,324
8136649743309128814,62699,200,10,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,2,0,0,0,0,31,STNL to BP,94,0.0,,0
8907645328465305799,44488,167,20,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,5,0,1,0,0,22,STNL to BP,99,,,383
