CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,email_sub,email_unsub,form_submission,forward_receipt,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,phonecall_outgoing_to_customer,primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,survey_submission,text_incoming_from_customer,text_outgoing_to_customer,Totals,ID,percent_open,percent_click,AVG_TIME_DAYS_purchase_x,AVG_TIME_DAYS_purchase_y
-9222983717532481599,281336,1203,80,0,1,0,17,0,40,0,0,0,0,0,0,1,0,57,0,0,0,0,1,9,1,8,0,0,0,139,0,0.425,0.058823529411764705,9,9
-9044857705265524453,778931,2907,257,0,3,1,3,1,118,0,0,1,0,0,8,1,0,233,0,0,1,0,0,2,0,2,0,0,0,385,1,0.025423728813559324,1.0,80,80
-8963114232538807937,361995,1299,16,0,12,2,18,0,130,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,179,2,0.13846153846153847,0.6666666666666666,47,47
-8932276230323054381,2617336,10326,403,0,31,0,180,0,673,0,0,3,0,6,23,3,0,322,0,0,0,0,1,6,0,1,0,3,1,1295,3,0.2674591381872214,0.17222222222222222,163,163
-8799106693862001648,1140499,4774,351,0,5,0,39,0,168,0,0,1,0,1,11,0,0,333,0,0,0,0,0,1,0,1,0,0,0,564,4,0.23214285714285715,0.1282051282051282,32,32
-8788085736761544968,942820,3256,258,1,18,1,87,0,98,0,0,2,0,0,10,2,0,238,0,0,1,0,0,2,0,0,0,0,0,466,5,0.8877551020408163,0.20689655172413793,122,122
-8749080499827230917,1078793,4081,28,0,14,0,45,0,447,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,6,0,0,0,534,6,0.10067114093959731,0.3111111111111111,154,154
-8679345257623183442,789020,2721,18,0,0,0,233,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,391,7,1.6642857142857144,0.0,70,70
-8589444626335505318,1379637,5212,310,0,48,2,37,0,283,0,0,4,0,0,7,1,0,272,0,0,1,0,0,3,0,0,0,0,0,682,8,0.13074204946996468,1.2972972972972974,200,200
-8554358298138075835,2641512,9912,468,0,19,6,234,6,571,0,0,4,0,0,5,1,3,436,0,0,1,0,0,3,0,13,0,0,0,1306,9,0.4098073555166375,0.0811965811965812,30,30
-8536276321958834403,1629337,6309,19,0,15,0,526,0,245,0,0,1,0,0,1,1,0,0,0,1,0,0,0,3,2,8,0,0,0,807,10,2.146938775510204,0.028517110266159697,85,85
-8512051865524996985,1009673,3164,232,0,19,5,148,8,86,0,0,2,0,0,1,0,0,217,0,0,1,0,0,2,0,8,0,0,0,499,12,1.7209302325581395,0.12837837837837837,31,31
-8498547393729527108,687693,2914,325,0,1,0,1,0,8,1,0,2,0,0,4,2,0,304,0,0,1,0,0,3,0,11,0,0,0,340,13,0.125,1.0,42,42
-8439891610575951063,2203924,8569,339,0,39,9,151,8,539,0,0,9,0,3,33,4,0,220,0,0,1,0,4,6,0,1,0,0,0,1090,14,0.28014842300556586,0.2582781456953642,155,155
-8291101172666936641,3018023,11469,358,0,10,0,152,0,967,0,0,2,0,5,34,4,0,254,0,0,0,0,1,8,1,21,0,0,0,1493,15,0.15718717683557393,0.06578947368421052,62,62
-8212719441420444006,978811,3515,229,0,32,5,35,4,176,0,0,9,0,3,5,2,2,195,0,0,0,0,0,2,0,4,0,0,0,484,16,0.19886363636363635,0.9142857142857143,34,34
-8157502558862230899,641028,2570,227,0,14,4,44,3,22,0,0,3,0,0,2,2,0,205,0,0,0,0,0,1,0,15,0,0,0,317,17,2.0,0.3181818181818182,13,13
-8137007490398234626,730396,2828,199,0,12,0,48,0,99,0,0,2,0,0,6,1,0,179,0,1,1,0,0,2,0,0,0,0,0,361,18,0.48484848484848486,0.25,157,157
-8110001089597629285,1100667,3925,321,0,21,4,90,5,101,0,0,4,0,0,2,1,1,299,0,0,0,0,1,2,0,9,0,0,0,544,19,0.8910891089108911,0.23333333333333334,26,26
-7894252021443777286,574007,2277,15,0,17,0,114,0,136,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,284,20,0.8382352941176471,0.14912280701754385,21,21
-7867354998288837896,1823826,6951,35,0,14,0,456,0,396,0,0,0,0,0,14,1,0,0,0,1,0,0,0,4,0,13,0,0,0,903,21,1.1515151515151516,0.03070175438596491,90,90
-7860628411648539655,1134770,4325,19,0,19,0,189,0,335,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,562,22,0.564179104477612,0.10052910052910052,93,93
