ACTIVITY_CODE_primary_purchase_club,ACTIVITY_CODE_primary_purchase_ga,ACTIVITY_CODE_primary_purchase_single,ACTIVITY_CODE_primary_purchase_sth,ACTIVITY_CODE_primary_purchase_suite,ACTIVITY_CODE_secondary_purchase,ACTIVITY_CODE_secondary_sale,ACTIVITY_CODE_merch_purchase,perc_open,perc_click,CAMPAIGN_LOST,Totals
0.0,0.0,0.0,0.0,0.0,4.2718612499466016e-05,0.0,0.0,0.37614678899082565,0.04878048780487805,STNL to BP,153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333336,0.0,STNL to BP,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,STNL to BP,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9054054054054054,0.029850746268656716,BP to STH,147
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,STNL to BP,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.3,STNL to BP,68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,41
0.0,0.00019290123456790122,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,0.07142857142857142,STNL to BP,72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9154929577464788,0.0,STNL to BP,139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.2,STNL to BP,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,STNL to BP,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633587786259542,0.024096385542168676,STNL to BP,218
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22641509433962265,0.0,STNL to BP,67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,2.25,0.0,STNL to BP,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12389380530973453,0.0,STNL to BP,138
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,STNL to BP,64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522727272727273,0.22580645161290322,STNL to BP,126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.953686200378072e-05,0.0375,0.0,STNL to BP,184
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4621212121212121,0.049180327868852465,STNL to BP,197
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,STNL to BP,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,STNL to BP,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10294117647058823,0.7142857142857143,STNL to BP,81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,STNL to BP,66
5.175715542673775e-05,0.0,0.0,0.0,0.0,5.175715542673775e-05,0.0,0.0,0.3473684210526316,0.12121212121212122,STNL to BP,139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,STNL to BP,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4130434782608695,0.052631578947368425,STNL to BP,71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.0,STNL to BP,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6055045871559633,0.0,STNL to BP,176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5156250000000001,0.0,STNL to BP,103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,STNL to BP,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,STNL to BP,47
0.0,0.0,3.6730945821854914e-05,0.0,0.0,0.0,0.0,0.0,0.8846153846153846,0.07246376811594203,BP to STH,165
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,STNL to BP,66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,STNL to BP,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,STNL to BP,93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,STNL to BP,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3508771929824562,0.0,STNL to BP,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.0,STNL to BP,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04608294930875576,0.0,STNL to BP,228
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14444444444444446,0.0,STNL to BP,105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846153,0.0,STNL to BP,84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5151515151515151,0.08823529411764705,BP to STH,105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582089552238806,0.0,BP to STH,93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,STNL to BP,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,STNL to BP,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101,0.0,STNL to BP,102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01234567901234568,0.0,STNL to BP,82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,STNL to BP,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,73
0.0,3.8578758535550326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6703296703296704,0.06557377049180328,STNL to BP,161
0.0,0.0,0.0,0.0,0.0,7.431629013079666e-05,0.0,0.0,1.2156862745098038,0.0,STNL to BP,116
1.4457343607685523e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6382978723404256,0.07142857142857142,BP to STH,263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4324324324324327,0.04716981132075471,STNL to BP,186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6,STNL to BP,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,STNL to BP,210
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,STNL to BP,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,0.07692307692307693,STNL to BP,61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,STNL to BP,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0849056603773585,0.0,STNL to BP,234
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,STNL to BP,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,STNL to BP,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,107
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07766990291262137,0.0,STNL to BP,113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,STNL to BP,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,STNL to BP,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391304347826087,0.0625,STNL to BP,285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5636363636363637,0.03225806451612903,STNL to BP,88
