primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
1,0,1,0,0,0,0,0.20484581497797358,0.08602150537634409,604
0,0,1,0,0,0,0,0.31899641577060933,0.02247191011235955,592
0,0,1,0,0,0,0,0.16996047430830039,0.13953488372093023,307
1,0,0,0,0,0,2,0.9499165275459098,0.005272407732864675,1321
1,0,0,0,0,0,0,0.14864864864864866,0.0,344
0,0,1,0,0,0,0,0.13157894736842105,1.6,55
0,0,2,0,0,0,0,0.2317596566523605,0.1388888888888889,647
0,0,2,0,0,0,0,0.12034383954154727,0.09523809523809523,412
1,0,0,0,0,0,0,0.6526946107784432,0.1651376146788991,300
1,0,1,0,0,0,0,0.5951417004048583,0.08843537414965986,417
0,0,1,0,0,0,2,0.03218390804597701,0.0,462
1,0,0,0,2,0,1,0.15172413793103448,0.045454545454545456,180
0,0,1,0,0,0,0,0.26877470355731226,0.17647058823529413,338
1,0,1,0,1,0,0,0.12714776632302405,0.24324324324324326,349
0,0,1,0,1,1,0,0.37636761487964987,0.046511627906976744,652
1,0,0,0,2,0,0,0.047619047619047616,0.29411764705882354,389
0,0,2,0,0,0,0,0.14685314685314685,0.07142857142857142,381
1,0,0,0,1,0,0,0.5734265734265734,0.018292682926829267,462
0,0,1,0,1,0,0,0.366412213740458,0.0625,381
1,1,0,0,0,0,0,0.1873479318734793,0.16883116883116883,513
0,0,1,0,0,0,0,0.1111111111111111,1.0,20
1,0,2,0,0,1,11,0.8177966101694916,0.15025906735751296,486
1,0,0,0,0,0,1,0.27331887201735355,0.15079365079365079,640
1,0,0,0,0,0,0,0.2755102040816326,0.06172839506172839,386
1,0,0,0,0,0,0,0.2681318681318681,0.028688524590163935,1171
0,0,1,0,0,0,0,0.39453125,0.07920792079207921,370
1,0,1,0,2,0,0,0.7836812144212524,0.06295399515738499,997
1,0,0,0,0,14,2,0.40752351097178685,0.06923076923076923,742
0,0,0,0,0,18,0,0.42857142857142855,0.022988505747126436,434
1,0,0,0,4,0,1,0.2109090909090909,0.017241379310344827,420
0,0,1,0,0,0,0,0.08710801393728224,0.32,356
1,0,0,0,0,0,0,0.3670212765957447,0.10144927536231885,534
0,0,1,0,0,0,2,0.2664233576642336,0.1780821917808219,388
1,0,0,0,0,0,0,0.17339667458432304,0.1506849315068493,511
0,0,1,0,0,0,0,0.657439446366782,0.015789473684210527,487
1,0,0,0,0,0,8,0.525089605734767,0.06143344709897611,881
1,0,0,0,1,0,0,0.10276679841897234,0.5,303
1,0,0,0,0,0,0,0.3181818181818182,0.1,303
1,0,0,0,0,0,5,0.19298245614035087,0.050505050505050504,652
0,0,1,0,1,0,0,1.8760330578512396,0.0022026431718061676,720
1,0,0,0,0,0,0,0.3020833333333333,0.011494252873563218,381
0,1,7,0,2,0,9,0.16506189821182943,0.20833333333333334,1171
0,0,1,0,1,0,0,0.15770609318996415,0.06818181818181818,336
1,0,0,0,0,0,0,0.4793814432989691,0.021505376344086023,294
0,0,1,0,0,0,0,0.1784037558685446,0.07894736842105263,262
1,0,0,0,0,0,0,0.5899814471243042,0.05345911949685535,880
0,0,1,0,0,0,0,0.05128205128205128,0.08333333333333333,514
1,0,1,0,0,0,0,0.43171806167400884,0.08163265306122448,350
1,1,2,0,1,8,1,0.47634069400630913,0.1390728476821192,1523
0,0,1,0,0,0,0,0.3776978417266187,0.0380952380952381,392
0,0,1,0,0,0,0,0.4790322580645161,0.02356902356902357,979
0,0,1,0,0,0,0,0.22045454545454546,0.09278350515463918,552
