primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,0,0,0,0,1.7733598409542743,0.07623318385650224,1479
0,0,0,0,0,0,0,0.2668067226890756,0.03937007874015748,612
0,0,1,0,1,1,0,0.30851063829787234,0.1896551724137931,603
0,0,1,0,0,0,0,0.18181818181818182,0.6,292
0,0,0,0,0,0,0,0.10421286031042129,0.0425531914893617,505
0,0,0,0,0,1,0,0.30405405405405406,0.1,441
0,0,0,0,6,0,0,1.2580645161290323,0.1111111111111111,700
1,0,0,0,1,0,0,0.6851851851851852,0.19369369369369369,597
0,0,2,0,0,0,0,1.6724890829694323,0.05483028720626632,654
0,0,0,0,0,0,0,0.20439189189189189,0.08264462809917356,753
1,0,1,0,1,9,0,0.25303643724696356,0.176,969
0,0,1,0,0,0,0,1.0867924528301887,0.034722222222222224,843
0,0,1,0,0,0,0,0.22657952069716775,0.1346153846153846,589
0,0,0,0,0,0,0,1.3048780487804879,0.007009345794392523,792
0,0,0,0,0,0,0,0.5046728971962616,0.037037037037037035,493
0,0,0,0,0,0,0,,,2
0,0,3,0,0,0,0,0.32491582491582494,0.09067357512953368,1880
0,0,0,0,2,0,8,0.3532934131736527,0.1864406779661017,1711
0,0,0,0,0,0,1,0.18395061728395062,0.10067114093959731,983
0,0,0,0,0,0,0,0.6870503597122302,0.010471204188481676,475
0,0,1,0,0,0,0,0.0,,19
0,0,0,0,0,0,0,0.5112359550561798,0.0989010989010989,323
0,0,1,0,0,0,0,0.880859375,0.1197339246119734,1157
0,0,1,0,1,0,0,0.05555555555555555,1.6666666666666667,103
0,0,2,0,0,0,0,0.456,0.09649122807017543,406
0,0,0,0,0,4,4,0.30697674418604654,0.045454545454545456,531
0,0,1,0,0,0,0,0.4724220623501199,0.04060913705583756,633
0,0,0,0,3,0,0,0.21630094043887146,0.18840579710144928,1252
0,0,0,0,0,0,0,0.6610576923076923,0.05818181818181818,715
0,1,1,0,0,0,0,0.3795620437956204,0.0673076923076923,399
0,0,2,0,0,0,0,1.9651898734177216,0.024154589371980676,977
0,0,4,0,3,0,11,1.550865800865801,0.039078855547801813,3004
0,0,2,0,2,0,1,0.13733905579399142,0.125,542
0,0,0,0,0,0,0,0.35714285714285715,0.1368421052631579,386
0,0,0,0,0,0,0,0.11878453038674033,0.4418604651162791,497
0,0,1,0,0,0,0,0.671957671957672,0.06036745406824147,1054
1,0,0,0,0,0,0,0.33653846153846156,0.1619047619047619,450
0,0,2,0,10,2,0,0.37272727272727274,0.18292682926829268,356
0,0,0,0,0,0,0,0.1880597014925373,0.06349206349206349,415
0,0,0,0,0,0,0,0.9241071428571429,0.051207729468599035,2214
0,0,0,0,0,0,0,0.3076923076923077,0.3125,150
0,0,2,0,3,0,0,0.6288343558282209,0.2048780487804878,600
0,0,0,0,0,0,0,0.3287671232876712,0.10416666666666667,402
0,0,8,0,0,0,2,0.927461139896373,0.20949720670391062,934
0,0,0,0,0,0,0,,,16
0,0,0,0,0,0,0,0.7209302325581395,0.0,78
0,0,0,0,0,0,0,0.7325581395348837,0.0,153
0,0,0,0,1,0,0,0.875,1.4285714285714286,38
0,0,0,0,0,0,0,1.1666666666666667,0.07308970099667775,585
0,0,2,0,0,0,0,0.5626740947075209,0.24257425742574257,643
0,0,0,0,0,0,0,0.8233766233766234,0.07255520504731862,803
0,0,1,0,0,0,0,0.13427561837455831,0.23684210526315788,512
0,0,0,0,1,0,0,1.1049949031600408,0.061808118081180814,2201
0,0,0,0,0,0,2,0.5201465201465202,0.07746478873239436,436
1,0,0,0,0,0,0,0.5,1.0,16
0,0,2,0,1,0,0,0.34715821812596004,0.17256637168141592,937
0,0,0,0,0,0,0,0.2732673267326733,0.2753623188405797,685
0,0,4,0,0,0,1,1.1171875,0.04195804195804196,1150
0,0,0,0,0,0,0,0.011086474501108648,0.4,926
0,0,0,0,0,0,0,0.3237113402061856,0.2802547770700637,713
0,0,0,0,0,0,1,0.23012048192771084,0.05235602094240838,1048
0,0,4,0,1,1,2,0.8992125984251969,0.12084063047285463,1388
0,0,0,0,7,0,4,0.2784184514003295,0.13609467455621302,1645
0,0,0,0,0,0,0,5.545454545454546,0.32786885245901637,131
1,0,0,1,1,0,1,0.3,0.13636363636363635,368
0,0,1,0,0,0,0,0.460431654676259,0.036458333333333336,624
1,0,0,0,0,1,0,0.5408970976253298,0.16585365853658537,771
2,0,1,2,0,0,0,0.4155844155844156,0.09375,187
