primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,1,0,0,0,0,0.029411764705882353,1.0,38
0,0,1,0,0,0,2,0.5642857142857143,0.0379746835443038,660
1,0,0,0,1,0,4,0.2621527777777778,0.10264900662251655,1527
0,0,2,0,0,0,0,0.2903225806451613,0.1111111111111111,175
1,0,0,0,0,0,1,0.673469387755102,0.030303030303030304,429
0,0,1,0,0,0,0,,,5
0,0,1,0,0,0,0,0.10427807486631016,0.05128205128205128,420
1,0,0,0,0,0,0,0.08085106382978724,0.0,258
0,0,1,0,0,0,0,0.2616822429906542,0.21428571428571427,148
1,0,0,0,0,0,1,0.09929078014184398,0.0,165
0,0,1,0,0,0,0,0.6528925619834711,0.0,205
0,0,1,0,0,0,0,0.0,,4
0,0,1,0,0,0,1,0.047619047619047616,1.0,37
1,0,0,0,0,0,0,0.5813953488372093,0.12,82
1,0,0,0,0,0,0,0.03773584905660377,0.0,333
1,0,0,0,0,0,0,0.1411764705882353,0.0,106
0,0,0,0,0,0,0,0.0,,8
0,0,1,0,0,0,5,0.09836065573770492,0.0,416
0,0,1,0,1,0,0,0.22943722943722944,0.0,291
1,0,0,0,2,0,0,0.18253968253968253,0.17391304347826086,173
0,0,1,0,0,0,0,0.020833333333333332,0.0,149
1,0,0,0,0,0,0,0.392,0.061224489795918366,182
0,0,2,0,0,0,2,1.7153652392947103,0.04405286343612335,1179
3,0,1,0,0,0,1,0.11764705882352941,1.0,33
0,0,1,0,0,0,0,0.4909090909090909,0.024691358024691357,258
1,0,0,0,0,0,0,0.0,,179
1,0,0,0,0,0,0,0.19444444444444445,0.0,49
1,0,1,0,0,0,0,0.22389306599832914,0.06343283582089553,1490
1,0,0,0,0,0,0,0.21568627450980393,0.0,70
1,0,0,0,0,0,0,0.22043010752688172,0.0,909
0,0,1,0,1,0,0,0.1459227467811159,0.14705882352941177,282
1,0,0,0,0,0,0,1.5609756097560976,0.0390625,221
1,0,1,0,9,1,0,0.0,,68
0,0,1,0,0,0,1,0.010638297872340425,0.0,102
1,0,0,0,1,0,2,1.08,0.018518518518518517,116
0,0,1,0,0,0,0,0.44283121597096187,0.10655737704918032,838
1,0,1,0,0,0,0,0.8798586572438163,0.05220883534136546,549
1,0,0,0,0,0,2,0.5686274509803921,0.21551724137931033,413
1,0,0,0,1,0,1,0.9939393939393939,0.06097560975609756,347
1,0,0,0,0,0,0,0.040998217468805706,0.0,589
0,0,0,0,0,0,0,1.3333333333333333,0.0,7
1,0,0,0,0,0,0,0.08771929824561403,0.0,127
1,0,0,0,0,0,0,0.17228464419475656,0.0,319
2,0,1,0,0,0,0,2.020618556701031,0.07142857142857142,325
0,0,1,0,0,0,0,0.0,,35
0,0,1,0,0,0,0,0.10144927536231885,0.5714285714285714,125
1,0,0,0,0,0,0,1.2545454545454546,0.014492753623188406,131
1,0,0,0,0,0,0,0.471563981042654,0.0,628
0,0,1,0,1,0,0,0.11363636363636363,0.4,62
0,0,2,0,0,0,0,0.3798977853492334,0.08968609865470852,845
0,0,1,0,0,0,0,0.5384615384615384,0.0,23
0,0,1,0,0,0,0,0.1232876712328767,0.0,166
1,0,0,0,0,0,0,0.25882352941176473,0.4090909090909091,129
1,0,0,0,0,0,0,0.06666666666666667,0.0,135
0,0,1,0,0,0,0,0.29411764705882354,0.0,94
1,0,0,0,0,0,0,0.14130434782608695,0.23076923076923078,114
0,0,1,0,0,0,0,,,3
1,0,0,0,0,0,0,0.03225806451612903,0.0,134
1,0,0,0,0,0,1,0.23828125,0.06557377049180328,656
0,0,0,0,0,0,1,0.0,,23
0,0,1,0,0,0,0,0.0,,196
1,0,0,0,0,0,0,1.5789473684210527,0.2,64
0,0,1,0,0,0,0,0.23580786026200873,0.0,289
1,0,0,0,0,0,0,0.5714285714285714,0.0,59
1,0,1,0,4,0,0,0.5402298850574713,0.07092198581560284,443
0,1,1,0,0,0,3,0.02575107296137339,1.1666666666666667,256
0,0,1,0,0,0,0,0.4117647058823529,0.19047619047619047,78
1,0,0,0,0,0,0,0.06557377049180328,0.0,525
0,0,1,0,1,0,0,0.2916666666666667,0.047619047619047616,379
1,0,0,0,0,0,0,,,3
0,0,1,0,1,0,0,0.65625,0.047619047619047616,118
1,0,0,0,0,0,0,0.10833333333333334,0.0,273
1,0,0,0,0,0,0,0.054901960784313725,0.0,281
0,0,1,0,0,0,0,0.11940298507462686,0.0,155
1,0,0,0,0,0,0,,,3
0,0,1,0,0,0,0,0.20634920634920634,0.07692307692307693,84
0,0,1,0,1,0,0,0.19101123595505617,0.0,211
1,1,0,0,0,0,0,1.319277108433735,0.0593607305936073,417
0,0,1,0,0,0,0,0.4875,0.0,288
0,0,1,0,0,0,1,2.0,0.0,34
0,0,2,0,0,0,1,0.9418604651162791,0.09876543209876543,359
1,0,0,0,0,0,2,0.021897810218978103,0.0,147
0,0,1,0,0,0,0,0.0364963503649635,0.0,146
0,0,1,0,1,0,2,0.1278409090909091,1.0444444444444445,1927
1,0,0,0,0,0,0,0.3625,0.08045977011494253,681
1,0,0,0,0,0,0,0.0,,50
0,0,1,0,0,0,0,0.2413793103448276,0.42857142857142855,45
1,0,0,0,0,0,0,0.8862275449101796,0.0,395
0,0,1,0,0,0,0,0.036231884057971016,0.0,148
1,0,0,0,2,0,0,0.18352059925093633,0.0,336
1,0,0,0,2,0,0,0.29901960784313725,0.08196721311475409,284
1,0,0,0,0,0,0,0.26229508196721313,0.25,131
1,0,0,0,0,0,3,0.15738498789346247,0.03076923076923077,493
0,0,2,0,7,0,0,0.8235294117647058,0.007936507936507936,316
2,0,0,0,0,0,0,0.40625,0.0,189
1,0,0,0,0,0,0,0.8571428571428571,0.9166666666666666,224
0,0,1,0,0,0,0,0.75177304964539,0.0,251
0,0,1,0,0,0,0,0.13903743315508021,0.6923076923076923,468
1,0,0,0,0,0,0,0.52,0.038461538461538464,236
0,0,1,0,0,0,0,0.0,,8
0,0,1,0,0,0,1,0.018018018018018018,0.0,117
1,0,0,0,0,0,0,,,3
2,0,0,0,4,0,3,0.5043478260869565,0.1896551724137931,209
1,0,0,0,0,0,0,0.21232876712328766,0.03225806451612903,182
1,0,0,0,0,0,0,0.03619909502262444,0.125,236
1,0,0,0,0,0,0,0.0,,6
0,0,1,0,0,0,0,0.008888888888888889,0.0,231
0,0,1,0,0,0,0,0.5595238095238095,0.02127659574468085,273
1,0,0,0,0,0,0,0.3333333333333333,0.11627906976744186,220
0,0,3,0,0,0,0,0.20270270270270271,0.13333333333333333,196
0,0,0,0,0,2,0,0.12919896640826872,0.08,533
0,0,1,0,0,0,0,0.0,,37
1,0,0,0,0,0,0,0.44370860927152317,0.04477611940298507,227
0,0,1,0,0,0,0,0.6410256410256411,0.0,68
1,0,1,0,0,0,0,0.4095238095238095,0.16279069767441862,164
0,0,1,0,1,0,3,0.4574468085106383,0.023255813953488372,148
3,1,1,0,0,0,1,0.8571428571428571,0.0,28
0,0,1,0,0,0,0,0.0625,0.0,56
1,1,0,0,0,0,0,0.3246753246753247,0.0,115
0,0,1,0,0,0,0,0.6666666666666666,0.0,20
1,0,0,0,0,0,0,,,5
1,0,0,0,0,0,0,0.3333333333333333,0.0,64
1,0,0,0,0,0,1,0.225,0.0,156
1,0,0,0,0,0,0,0.01971830985915493,0.0,368
0,0,1,0,0,0,0,0.05335628227194492,0.03225806451612903,630
0,0,1,0,0,0,0,0.18518518518518517,0.0,114
1,0,0,0,0,0,0,,,3
0,0,1,0,8,0,3,0.5290697674418605,0.13186813186813187,339
1,0,1,0,0,0,0,0.6861702127659575,0.007751937984496124,326
1,0,0,0,0,0,0,0.15333333333333332,0.0,177
1,0,2,0,0,0,0,0.3020833333333333,0.0,137
0,0,0,0,0,0,0,0.75,0.0,14
0,0,1,0,0,0,0,2.0215827338129495,0.010676156583629894,427
1,0,0,0,0,0,0,0.25654450261780104,0.030612244897959183,504
1,0,0,0,0,0,0,0.38461538461538464,0.0,300
1,0,0,0,0,0,0,0.3090909090909091,0.029411764705882353,150
1,0,2,0,0,0,5,0.29846938775510207,0.2606837606837607,1104
0,0,2,0,0,0,4,0.75,0.0,27
0,0,1,0,0,0,0,0.0,,26
0,0,1,0,0,0,0,0.8928571428571429,0.0,59
0,0,2,0,0,0,0,0.39705882352941174,0.037037037037037035,109
1,0,0,0,0,0,0,0.2847682119205298,0.0,196
0,0,1,0,2,0,0,1.3394495412844036,0.04794520547945205,539
0,0,1,0,1,0,0,0.5275779376498801,0.004545454545454545,647
0,0,1,0,0,0,0,0.014634146341463415,0.0,215
1,0,1,0,2,0,6,0.2665198237885463,0.2066115702479339,625
1,0,0,0,0,0,0,0.0,,7
1,0,1,0,0,0,0,0.32515337423312884,0.33962264150943394,262
1,0,0,0,0,0,0,0.39090909090909093,0.011627906976744186,312
0,0,1,0,0,0,0,,,3
0,0,1,0,0,0,0,0.0056657223796034,0.0,361
0,0,1,0,1,0,0,1.7,0.0053475935828877,306
1,0,0,0,0,0,0,0.09607843137254903,0.0,566
1,0,0,0,0,0,0,0.03333333333333333,0.0,223
1,0,0,0,0,0,3,0.10989010989010989,0.0,110
0,0,1,0,1,0,1,0.46464646464646464,0.021739130434782608,159
1,0,0,0,0,0,1,0.18055555555555555,0.07692307692307693,99
0,0,1,0,2,0,0,0.07964601769911504,0.2222222222222222,139
1,0,2,0,4,0,3,1.0790816326530612,0.09929078014184398,888
0,0,1,0,0,0,0,0.6875,4.0,74
1,0,0,0,0,0,0,0.2222222222222222,0.125,51
