primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,6,0,1,29,0,0.25112107623318386,0.13690476190476192,2221
1,0,0,6,0,0,16,0,1.0465657741559953,0.034482758620689655,2122
1,0,2,15,0,1,4,2,0.3770343580470163,0.1606714628297362,1980
0,0,0,2,0,0,0,0,,,17
2,0,0,5,0,0,2,0,1.249240121580547,0.06082725060827251,2314
1,0,0,6,0,0,22,0,1.599056603773585,0.035398230088495575,2861
0,0,0,4,0,0,0,4,2.2902857142857145,0.018962075848303395,3095
0,0,1,6,0,0,0,0,0.9628942486085343,0.09826589595375723,1662
0,0,1,6,0,0,0,2,0.5734200743494424,0.09562398703403566,1943
0,0,0,4,0,0,1,2,1.2285714285714286,0.17889087656529518,1634
1,0,0,6,0,0,0,0,0.31347387717690195,0.15204678362573099,1761
0,0,0,2,0,0,0,0,2.4157894736842107,0.02832244008714597,1327
0,1,1,6,0,0,11,0,0.48755656108597284,0.20649651972157773,1535
1,0,0,5,0,1,3,0,3.3943661971830985,0.11618257261410789,401
1,0,0,3,0,0,13,2,0.5873015873015873,0.26126126126126126,2236
1,0,1,1,0,0,3,0,0.6206896551724138,0.3888888888888889,721
1,0,0,6,0,0,0,3,0.42632850241545894,0.10198300283286119,1755
1,0,0,6,0,0,1,1,1.0675105485232068,0.09881422924901186,1006
0,0,1,6,0,0,2,1,1.6608247422680413,0.05276225946617008,2869
1,0,0,5,0,0,4,1,1.694736842105263,0.14285714285714285,576
0,0,0,3,0,0,0,6,1.2054545454545456,0.05580693815987934,1412
1,0,1,1,0,0,5,0,,,16
0,0,1,4,0,1,37,0,7.427461139896373,0.024066968957098013,6757
0,0,1,3,0,0,9,0,0.5741758241758241,0.37799043062200954,715
2,1,2,6,2,1,9,10,0.7815993121238177,0.0704070407040704,2307
0,0,0,16,0,0,4,15,0.33608815426997246,0.10655737704918032,1868
1,1,1,5,0,0,1,0,0.9203268641470889,0.04772475027746948,2436
4,0,0,8,0,0,20,0,3.1456953642384105,0.048771929824561404,4142
1,0,0,6,0,0,11,0,1.9423076923076923,0.0165016501650165,515
0,0,1,4,1,1,5,3,1.6422413793103448,0.07349081364829396,1046
1,0,0,10,0,0,9,8,1.7711267605633803,0.06958250497017893,1460
0,0,1,16,0,2,65,0,0.20822837951301426,0.2661290322580645,1631
1,0,0,6,0,0,15,0,0.6201602136181575,0.04843918191603875,2868
1,0,0,6,0,0,26,1,0.8064918851435705,0.06346749226006192,1568
1,0,0,6,0,2,16,0,0.39893617021276595,0.06888888888888889,1714
1,0,1,6,0,7,16,0,1.4078303425774878,0.08922363847045191,1666
0,0,0,15,0,0,29,0,0.09937888198757763,0.578125,1002
1,0,1,8,0,1,56,0,1.153731343283582,0.08796895213454076,1691
0,0,1,7,0,2,38,0,1.0646087580760948,0.07080242751180041,3552
1,0,0,5,0,1,12,0,0.26372637263726373,0.13993174061433447,1642
0,0,0,1,0,0,0,0,0.23786407766990292,0.3469387755102041,288
1,0,5,8,0,3,4,10,0.13142857142857142,0.8985507246376812,1470
0,1,1,8,0,0,3,1,0.6774500475737393,0.06460674157303371,2435
1,0,0,6,0,0,5,0,0.3628808864265928,0.09669211195928754,1570
0,0,1,6,0,0,0,0,1.3852813852813852,0.084375,2140
0,0,1,6,0,0,0,9,1.0217770034843205,0.1329923273657289,3541
0,0,0,3,0,0,0,0,0.14427860696517414,0.3103448275862069,284
1,0,0,6,0,0,0,1,0.4247159090909091,0.043478260869565216,2380
0,0,1,6,0,0,0,1,0.7129186602870813,0.03523489932885906,1600
0,0,0,15,0,0,20,0,7.330232558139535,0.02284263959390863,3712
0,0,1,6,0,0,25,1,0.6103896103896104,0.09840425531914894,1123
0,0,1,5,0,0,15,0,,,63
1,0,0,6,0,0,0,0,0.2721311475409836,0.11646586345381527,1493
0,0,1,6,0,0,0,0,1.0188457008244993,0.08786127167630058,2837
0,0,1,3,0,0,15,0,0.10555555555555556,0.7894736842105263,519
1,0,0,6,0,0,0,0,1.2222222222222223,0.13636363636363635,101
0,0,0,2,0,2,5,1,0.23667377398720682,0.13513513513513514,739
0,0,1,6,0,0,9,1,0.6153846153846154,0.11224489795918367,2601
0,0,0,1,0,0,0,0,0.7076923076923077,0.06521739130434782,213
0,0,0,1,0,0,0,0,4.144927536231884,0.0,376
0,0,1,6,0,0,0,1,0.3333333333333333,0.08552631578947369,867
1,0,0,6,0,1,2,0,0.15,0.21505376344086022,903
0,0,2,5,0,2,34,0,0.21798365122615804,0.275,593
1,0,1,9,0,1,0,8,0.8455223880597015,0.09620476610767872,2998
0,0,1,6,0,0,19,0,0.47085201793721976,0.12380952380952381,401
1,0,0,6,0,1,1,0,1.068676716917923,0.045454545454545456,1653
