primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,1,1,0,0.3,0.0,STNL to BP,36
0,0,1,0,0,0.7142857142857143,0.13333333333333333,STNL to BP,45
0,0,2,3,1,0.22018348623853212,0.20833333333333334,STNL to BP,166
0,0,1,0,0,0.55,0.13636363636363635,BP to STH,66
0,0,4,0,0,0.19047619047619047,0.0,STNL to BP,74
0,0,1,0,0,3.142857142857143,0.09090909090909091,BP to STH,131
0,0,1,0,0,0.09090909090909091,0.0,STNL to BP,20
0,0,1,0,0,0.7027027027027027,0.23076923076923078,STNL to BP,70
0,0,1,0,0,1.358974358974359,0.11320754716981132,BP to STH,107
0,0,4,0,0,0.04,1.0,STNL to BP,94
0,0,1,1,0,0.0,,STNL to BP,19
0,0,1,0,0,2.5,0.4,STNL to BP,11
0,0,1,0,0,1.9428571428571428,0.0,STNL to BP,104
0,0,1,0,0,2.227272727272727,0.0,STNL to BP,75
0,0,2,0,0,,,STNL to BP,5
0,0,1,0,0,0.29577464788732394,0.2857142857142857,STNL to BP,130
0,0,3,0,0,0.16129032258064516,0.1,STNL to BP,177
0,0,1,2,0,0.0,,STNL to BP,108
0,0,2,0,0,0.5205479452054794,0.07894736842105263,STNL to BP,119
0,0,1,1,0,0.3103448275862069,0.1111111111111111,STNL to BP,60
0,0,1,0,0,1.064516129032258,0.030303030303030304,STNL to BP,66
0,0,2,0,0,0.47619047619047616,0.15,BP to STH,73
0,0,1,0,1,0.7297297297297297,0.48148148148148145,STNL to BP,81
0,0,13,1,0,4.0,0.0,STNL to BP,50
0,0,1,0,0,0.4090909090909091,0.0,STNL to BP,36
0,0,1,0,0,0.3076923076923077,0.0,STNL to BP,18
0,0,2,5,0,0.18666666666666668,0.2857142857142857,STNL to BP,102
0,0,2,1,0,0.2619047619047619,0.0,STNL to BP,79
0,0,2,0,1,0.16666666666666666,0.0,STNL to BP,93
0,0,2,0,0,0.2831858407079646,0.15625,STNL to BP,157
0,0,2,1,0,0.08163265306122448,0.0,STNL to BP,58
