primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,CAMPAIGN_LOST,Totals
0,0,1,0,0,0,0.125,0.0,STNL to BP,28
0,0,1,0,0,0,0.96,0.041666666666666664,STNL to BP,51
0,0,3,0,0,0,0.0,,STNL to BP,6
0,0,1,0,1,0,0.07692307692307693,0.0,STNL to BP,35
0,0,1,0,0,0,0.6666666666666666,0.16666666666666666,STNL to BP,17
0,0,1,0,0,0,0.0,inf,STNL to BP,56
0,0,2,0,0,0,0.22916666666666666,0.0,STNL to BP,72
0,0,1,0,0,0,2.0,0.0,STNL to BP,28
0,0,1,0,1,0,0.0,,STNL to BP,42
0,0,9,0,0,0,0.75,0.3333333333333333,STNL to BP,31
0,0,1,0,0,0,0.22727272727272727,0.8,STNL to BP,33
0,0,1,0,0,0,0.42857142857142855,0.1111111111111111,STNL to BP,32
0,0,1,0,0,0,0.6956521739130435,0.0,STNL to BP,40
0,0,1,0,0,0,0.037037037037037035,0.0,STNL to BP,29
1,0,1,0,0,0,0.0,,STNL to BP,5
0,0,2,0,0,0,0.09836065573770492,0.0,STNL to BP,78
0,0,1,0,1,0,1.2702702702702702,0.1276595744680851,STNL to BP,116
0,0,1,0,0,0,0.2,0.0,BP to STH,27
0,0,1,0,0,0,1.1666666666666667,0.2857142857142857,STNL to BP,32
0,0,2,0,1,0,0.9629629629629629,0.11538461538461539,STNL to BP,139
0,0,2,0,0,0,0.5555555555555556,0.0,STNL to BP,33
0,0,1,0,0,0,0.21428571428571427,0.0,STNL to BP,18
0,0,1,0,0,0,0.2222222222222222,0.0,STNL to BP,67
0,0,1,0,0,0,0.0,,BP to STH,14
0,0,1,0,0,0,0.1875,1.0,STNL to BP,79
0,0,1,0,0,0,1.9166666666666667,0.043478260869565216,STNL to BP,63
0,0,1,0,0,1,2.0,0.0,STNL to BP,50
0,0,10,0,0,0,1.2777777777777777,0.08695652173913043,STNL to BP,90
0,0,5,0,3,0,0.6388888888888888,0.5652173913043478,STNL to BP,92
1,0,1,0,1,0,1.1333333333333333,0.11764705882352941,BP to STH,99
0,0,1,0,0,0,4.833333333333333,0.08620689655172414,STNL to BP,117
0,0,1,0,0,0,0.125,0.0,STNL to BP,10
0,0,1,0,0,0,0.45454545454545453,0.0,STNL to BP,17
0,0,1,0,0,0,0.7333333333333333,0.0,STNL to BP,31
0,0,1,0,0,0,0.85,0.058823529411764705,STNL to BP,39
0,1,1,0,0,0,0.5909090909090909,0.0,STNL to BP,40
0,0,3,0,5,0,0.32558139534883723,0.07142857142857142,STNL to BP,82
0,0,1,0,0,0,0.5454545454545454,0.0,STNL to BP,25
0,0,1,0,2,0,0.5,0.0,STNL to BP,48
0,0,2,0,2,0,2.076923076923077,0.0,BP to STH,62
0,0,1,0,0,0,1.2727272727272727,0.07142857142857142,STNL to BP,41
0,0,1,0,0,0,0.5454545454545454,0.0,STNL to BP,18
0,0,3,0,0,0,0.1,0.0,STNL to BP,75
1,0,3,0,0,1,1.3194444444444444,0.10526315789473684,BP to STH,237
0,0,1,0,0,0,0.6363636363636364,0.14285714285714285,BP to STH,22
0,0,1,0,0,0,0.125,0.6666666666666666,BP to STH,30
0,0,2,0,0,0,0.05128205128205128,0.0,STNL to BP,46
0,0,1,0,0,0,0.09090909090909091,0.0,STNL to BP,48
0,0,1,0,0,0,1.2222222222222223,0.0,STNL to BP,21
0,0,2,0,0,0,0.358974358974359,0.07142857142857142,STNL to BP,58
0,0,1,0,0,0,0.9230769230769231,0.0,STNL to BP,26
0,0,1,0,0,0,0.07142857142857142,0.0,STNL to BP,16
0,0,1,0,0,0,0.23529411764705882,0.25,STNL to BP,31
0,0,1,0,0,0,,,BP to STH,2
0,0,1,0,0,0,0.1111111111111111,0.0,STNL to BP,12
0,0,1,0,0,0,0.75,0.3333333333333333,STNL to BP,9
0,0,1,0,0,0,1.6363636363636365,0.027777777777777776,STNL to BP,60
0,0,1,0,0,0,1.0,0.06666666666666667,BP to STH,37
0,0,1,0,0,0,0.1111111111111111,0.3333333333333333,STNL to BP,32
0,0,1,0,0,0,4.357142857142857,0.13114754098360656,BP to STH,84
0,0,1,0,0,0,3.5,0.09523809523809523,STNL to BP,30
0,0,1,0,0,0,1.6,0.0,BP to STH,18
0,0,1,0,0,0,2.0,0.0,STNL to BP,28
0,0,1,0,0,0,1.6818181818181819,0.0,STNL to BP,62
0,0,1,0,0,0,0.1111111111111111,7.0,STNL to BP,23
0,0,2,0,0,0,1.4047619047619047,0.15254237288135594,STNL to BP,112
0,0,1,0,0,0,0.13636363636363635,0.0,STNL to BP,26
0,0,2,0,0,0,0.5,0.2857142857142857,STNL to BP,82
0,0,1,0,0,0,0.15789473684210525,0.3333333333333333,STNL to BP,24
0,0,1,0,0,0,1.0833333333333333,0.23076923076923078,BP to STH,32
0,0,1,0,0,0,1.75,0.0,STNL to BP,71
0,0,1,0,0,0,2.0,0.047619047619047616,STNL to BP,66
0,0,1,0,0,0,1.0,0.0,STNL to BP,25
0,0,1,1,0,0,0.0,,BP to STH,23
0,0,1,0,0,0,0.45,0.1111111111111111,STNL to BP,75
0,0,1,0,0,0,0.0,inf,STNL to BP,14
0,0,2,0,0,0,0.038461538461538464,0.0,STNL to BP,31
0,0,3,0,0,0,0.4,0.0,STNL to BP,25
0,0,1,0,1,0,0.0,inf,STNL to BP,43
0,0,1,0,0,0,0.07407407407407407,0.5,STNL to BP,73
0,0,1,0,0,0,0.6666666666666666,0.3,STNL to BP,35
0,0,1,0,0,0,0.0,inf,STNL to BP,41
0,0,1,0,0,0,1.4615384615384615,0.02631578947368421,BP to STH,69
0,0,2,0,0,0,0.75,0.09523809523809523,STNL to BP,62
0,0,1,0,0,0,0.15151515151515152,1.0,STNL to BP,46
0,0,1,0,1,0,0.3076923076923077,0.5,STNL to BP,41
0,0,2,0,0,0,0.16363636363636364,0.1111111111111111,STNL to BP,68
0,0,2,0,0,0,1.8627450980392157,0.021052631578947368,STNL to BP,151
0,0,1,0,0,0,0.14285714285714285,0.0,STNL to BP,35
0,0,1,0,0,0,0.38461538461538464,0.2,BP to STH,20
0,0,1,0,2,0,0.02631578947368421,4.0,STNL to BP,116
0,0,2,0,0,0,0.42857142857142855,0.16666666666666666,BP to STH,45
0,0,1,0,0,0,0.1111111111111111,2.0,STNL to BP,26
0,0,1,0,0,0,,,STNL to BP,8
0,0,2,0,0,0,0.0,,STNL to BP,31
0,0,1,0,0,0,0.7407407407407407,0.0,STNL to BP,51
0,0,1,0,0,0,0.4090909090909091,0.3333333333333333,STNL to BP,35
0,0,1,0,0,0,1.0,0.0,STNL to BP,26
0,0,1,0,0,0,0.5714285714285714,0.16666666666666666,STNL to BP,37
0,0,5,0,1,0,,,STNL to BP,22
0,0,1,0,0,0,3.0,0.0,STNL to BP,13
