primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,primary_purchase_suite,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,0,2,0,0,13,0,5.043715846994536,0.08884073672806067,1221
0,0,0,1,0,0,6,0,0.6103896103896104,0.14893617021276595,149
0,0,0,1,0,0,4,0,0.05405405405405406,3.25,363
0,0,0,2,0,0,13,0,0.44214876033057854,0.3364485981308411,1330
0,0,0,1,0,0,4,0,0.015151515151515152,1.0,955
1,0,0,2,0,0,7,0,0.5017182130584192,0.0684931506849315,650
0,0,0,2,0,0,3,2,0.95625,0.21568627450980393,579
0,0,0,1,0,0,1,0,0.45454545454545453,0.24,101
0,0,0,2,0,0,14,1,0.36363636363636365,0.3125,440
0,0,0,1,0,0,1,0,0.7236842105263158,0.09090909090909091,302
0,0,0,1,0,0,3,0,0.1568627450980392,1.625,359
0,0,0,2,0,0,0,0,0.0784313725490196,2.25,540
0,0,0,1,0,0,2,0,0.5714285714285714,0.175,142
0,0,0,2,0,0,10,0,0.051094890510948905,1.0,2027
0,0,0,2,0,0,1,0,0.38125,0.47540983606557374,709
0,0,1,5,0,0,10,0,2.845360824742268,0.15579710144927536,580
1,0,0,1,0,0,0,0,0.06818181818181818,1.0,439
0,0,0,1,0,1,2,1,1.606060606060606,0.18238993710691823,465
0,0,0,2,0,0,14,0,0.7407407407407407,0.1375,976
0,0,0,1,0,0,7,0,1.540983606557377,0.06382978723404255,224
0,0,0,2,0,0,0,0,0.07547169811320754,1.0,187
0,0,1,2,0,0,17,0,1.6575342465753424,0.09917355371900827,662
0,0,0,1,0,0,0,1,1.263157894736842,0.24166666666666667,341
0,0,1,2,0,1,6,0,0.2631578947368421,0.6888888888888889,1288
0,0,0,2,0,0,4,0,0.2847682119205298,0.5116279069767442,250
0,0,0,2,0,0,16,1,0.08433734939759036,0.14285714285714285,568
0,0,0,2,0,0,4,1,0.8514285714285714,0.087248322147651,735
1,0,0,2,0,1,21,1,0.8660714285714286,0.29381443298969073,728
1,0,0,2,0,0,15,0,0.12138728323699421,0.42857142857142855,445
0,0,1,2,0,0,0,0,0.6466666666666666,0.24742268041237114,599
0,0,0,2,0,0,14,0,2.2992700729927007,0.07301587301587302,755
0,0,0,1,0,2,6,0,8.461538461538462,0.0,478
0,0,0,1,0,0,7,0,0.0,,93
0,0,0,1,0,0,0,0,0.08,2.25,87
0,0,0,1,0,0,6,0,0.3111111111111111,0.07142857142857142,117
1,0,0,2,0,0,1,0,0.7675276752767528,0.10576923076923077,1023
0,0,0,1,0,0,0,0,inf,0.0,21
0,1,0,2,0,1,0,0,0.6510067114093959,0.1958762886597938,578
0,0,1,2,0,0,1,0,0.03546099290780142,1.0,632
3,0,0,1,0,0,0,0,1.5508474576271187,0.08196721311475409,382
0,0,0,2,0,0,3,0,0.8275862068965517,0.14166666666666666,540
0,0,1,1,0,0,16,0,0.4,0.19230769230769232,147
0,0,0,1,0,3,11,1,0.0847457627118644,1.6,101
0,2,1,2,0,0,0,7,0.18823529411764706,1.6875,333
12,0,0,8,0,0,0,0,0.027586206896551724,3.0,235
1,0,0,7,0,0,17,0,0.6567375886524822,0.13390928725701945,2345
0,0,0,7,0,1,30,2,0.4106910039113429,0.1619047619047619,2000
0,0,0,2,0,0,5,2,0.20689655172413793,1.5,335
0,0,0,1,0,0,4,0,2.611111111111111,0.014184397163120567,316
0,0,0,1,0,0,8,0,0.05172413793103448,1.3333333333333333,91
0,0,0,1,0,0,5,0,0.03225806451612903,2.0,310
0,0,0,2,0,0,7,0,0.0410958904109589,1.3333333333333333,419
0,0,0,1,0,0,0,0,0.7333333333333333,0.5454545454545454,166
0,0,0,1,0,0,7,0,0.4,0.041666666666666664,231
1,0,0,1,0,0,2,1,0.17647058823529413,0.25,99
0,0,0,2,0,0,8,0,0.09090909090909091,0.6666666666666666,472
0,0,0,2,0,0,2,0,0.09375,0.9444444444444444,355
1,0,0,2,0,0,0,0,1.8481012658227849,0.11643835616438356,1338
0,0,0,2,0,1,2,0,0.03676470588235294,2.1,329
0,0,0,1,0,0,4,0,0.7631578947368421,0.27586206896551724,399
0,0,0,1,0,1,4,0,0.4017857142857143,0.0,181
0,0,1,2,0,0,0,0,0.7336244541484717,0.08333333333333333,1234
0,0,0,1,0,0,4,0,0.3972602739726027,0.06896551724137931,222
0,0,0,1,0,0,0,0,3.7857142857142856,0.07547169811320754,255
1,0,0,2,1,0,0,0,0.6296296296296297,0.0784313725490196,264
0,0,0,2,0,0,1,2,0.31645569620253167,0.22,328
0,0,0,1,0,0,1,0,1.425531914893617,0.1044776119402985,392
1,0,0,1,0,0,0,0,1.0229885057471264,0.056179775280898875,215
0,0,0,1,0,0,0,0,0.35294117647058826,0.6111111111111112,221
0,0,1,1,0,0,0,0,0.8928571428571429,0.14,313
0,0,1,1,0,0,1,0,0.7777777777777778,0.09523809523809523,175
0,0,0,2,0,0,0,1,0.5194805194805194,0.225,698
1,0,1,2,0,0,0,0,0.08333333333333333,0.9523809523809523,616
0,0,1,2,0,0,7,1,1.702928870292887,0.18673218673218672,1715
0,0,0,1,0,0,2,1,0.043478260869565216,2.25,123
