primary_purchase_club,primary_purchase_ga,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,merch_purchase,percent_open,percent_click,Totals
0,0,1,9,1,8,0,0.425,0.058823529411764705,139
1,0,0,2,0,2,0,0.025423728813559324,1.0,385
0,0,0,2,0,4,0,0.13846153846153847,0.6666666666666666,179
0,0,1,6,0,1,0,0.2674591381872214,0.17222222222222222,1295
0,0,0,1,0,1,0,0.23214285714285715,0.1282051282051282,564
1,0,0,2,0,0,0,0.8877551020408163,0.20689655172413793,466
0,0,0,3,0,6,0,0.10067114093959731,0.3111111111111111,534
0,0,0,2,0,4,0,1.6642857142857144,0.0,391
1,0,0,3,0,0,0,0.13074204946996468,1.2972972972972974,682
1,0,0,3,0,13,3,0.4098073555166375,0.0811965811965812,1306
0,0,0,3,2,8,0,2.146938775510204,0.028517110266159697,807
1,0,0,2,0,8,0,1.7209302325581395,0.12837837837837837,499
1,0,0,3,0,11,0,0.125,1.0,340
1,0,4,6,0,1,0,0.28014842300556586,0.2582781456953642,1090
0,0,1,8,1,21,0,0.15718717683557393,0.06578947368421052,1493
0,0,0,2,0,4,2,0.19886363636363635,0.9142857142857143,484
0,0,0,1,0,15,0,2.0,0.3181818181818182,317
1,0,0,2,0,0,0,0.48484848484848486,0.25,361
0,0,1,2,0,9,1,0.8910891089108911,0.23333333333333334,544
0,0,0,2,0,10,0,0.8382352941176471,0.14912280701754385,284
0,0,0,4,0,13,0,1.1515151515151516,0.03070175438596491,903
0,0,0,3,0,9,0,0.564179104477612,0.10052910052910052,562
0,0,1,3,0,7,0,0.5806451612903226,0.09595959595959595,923
1,0,0,3,1,6,0,0.07048458149779736,1.5,876
1,1,2,3,0,2,3,0.1912568306010929,0.6,1302
1,0,0,6,0,0,0,0.5636704119850188,0.019933554817275746,925
2,0,1,15,0,20,0,0.7836338418862691,0.09734513274336283,1893
1,0,0,3,0,27,0,0.39361702127659576,0.21621621621621623,625
1,0,0,3,0,7,2,0.23651452282157676,0.543859649122807,512
1,0,0,3,0,1,1,0.0815450643776824,0.7631578947368421,730
0,0,1,2,0,0,0,2.227272727272727,0.1469387755102041,953
2,0,0,3,0,1,0,1.6728624535315986,0.07333333333333333,1228
0,0,0,4,0,3,0,0.7419847328244275,0.02880658436213992,1178
1,0,1,4,0,10,0,0.15816326530612246,0.5645161290322581,530
0,0,1,4,0,0,0,0.5857418111753372,0.013157894736842105,869
0,0,0,2,0,0,0,1.0443037974683544,0.10303030303030303,409
0,0,0,2,0,9,0,0.8230088495575221,0.0,219
0,0,0,2,0,5,0,0.8,0.5984848484848485,421
0,0,1,11,0,15,0,2.2193308550185873,0.05695142378559464,931
0,0,1,3,1,0,0,0.8421052631578947,0.12946428571428573,1141
1,0,0,3,0,7,1,0.34710743801652894,0.15476190476190477,413
0,0,1,5,0,17,0,1.3516260162601625,0.09924812030075188,1531
0,0,1,15,0,2,4,0.3313953488372093,0.2807017543859649,588
1,1,0,3,0,5,0,0.5645161290322581,0.2642857142857143,791
0,0,0,1,0,4,0,0.8489208633093526,0.05084745762711865,296
0,0,0,1,0,1,0,0.8045454545454546,0.11864406779661017,508
0,0,0,2,0,0,0,1.2741935483870968,0.0,440
0,0,0,3,0,9,0,1.803030303030303,0.008403361344537815,768
0,0,1,3,0,3,0,2.5137614678899083,0.040145985401459854,1117
0,0,0,2,0,2,0,,,20
1,0,1,3,0,5,0,0.8282608695652174,0.18635170603674542,1571
0,0,0,1,0,2,1,0.4791666666666667,0.30434782608695654,760
1,0,0,4,2,0,1,0.3726235741444867,0.15306122448979592,717
1,0,1,3,0,5,0,0.07032967032967033,0.84375,622
0,0,0,5,0,0,4,0.14613180515759314,0.0392156862745098,1335
0,0,1,3,0,3,0,1.501930501930502,0.02313624678663239,793
0,0,1,6,1,18,0,0.4082013047530289,0.0821917808219178,1652
0,0,0,2,0,4,0,0.45098039215686275,0.0,535
0,0,1,3,0,5,0,1.1428571428571428,0.10416666666666667,583
0,0,1,3,0,9,0,0.05405405405405406,0.8,388
1,0,0,3,1,0,0,0.059233449477351915,0.5294117647058824,581
0,0,1,4,0,9,0,0.19931271477663232,0.22413793103448276,907
0,0,0,1,0,5,0,0.5544554455445545,0.22321428571428573,523
0,0,1,3,0,0,0,0.2838709677419355,0.22727272727272727,616
1,0,0,2,0,2,0,0.6358974358974359,0.1532258064516129,620
0,0,1,1,0,15,0,0.3023255813953488,0.38461538461538464,478
0,0,0,1,0,1,0,2.602409638554217,0.0,301
1,0,0,3,0,0,3,0.21447721179624665,0.8,889
0,0,0,4,0,0,0,1.240990990990991,0.02722323049001815,1043
0,0,0,3,0,0,1,1.2895927601809956,0.008771929824561403,1110
1,0,0,3,0,2,0,0.6,0.7083333333333334,155
1,0,0,2,0,2,0,0.12244897959183673,1.3333333333333333,531
0,0,1,3,0,5,0,1.0841121495327102,0.08333333333333333,1138
0,0,1,2,0,7,2,0.5236051502145923,0.45901639344262296,900
0,0,1,3,0,11,0,0.2066420664206642,0.6964285714285714,921
1,0,1,4,0,0,0,0.7073170731707317,0.20689655172413793,318
0,0,0,4,0,9,0,1.4647887323943662,0.04487179487179487,563
0,0,1,3,0,10,0,0.04417670682730924,1.0,739
1,0,0,3,0,3,0,0.9119318181818182,0.012461059190031152,696
0,0,1,3,0,6,7,0.12903225806451613,0.5833333333333334,444
0,0,1,1,0,0,0,0.44642857142857145,0.3,193
0,0,0,4,0,0,1,0.5384615384615384,0.021164021164021163,581
0,0,1,6,0,0,0,0.22693531283138918,0.4485981308411215,1590
0,0,1,7,0,14,0,0.6932773109243697,0.07676767676767676,1390
1,0,0,1,0,0,0,0.6818181818181818,0.06666666666666667,95
1,0,2,5,0,0,0,0.7793696275071633,0.16544117647058823,1811
1,0,0,3,0,0,0,0.29277566539923955,0.23376623376623376,674
0,0,0,3,0,0,0,0.4961636828644501,0.05670103092783505,607
1,0,0,5,0,10,0,0.43359375,0.18018018018018017,425
0,0,0,1,0,0,0,0.0,,46
0,0,0,3,0,1,0,2.2340966921119594,0.017084282460136675,1324
0,0,1,3,0,0,3,1.1006711409395973,0.2774390243902439,1025
2,0,0,1,0,0,0,0.15748031496062992,0.45,241
1,0,0,2,2,1,1,0.12260536398467432,0.09375,406
1,0,0,3,0,0,0,1.8,0.0821256038647343,508
0,0,1,6,0,15,1,1.1140819964349375,0.108,3515
0,0,0,1,0,2,0,0.2012987012987013,0.0,202
0,0,0,3,0,2,0,0.3377777777777778,0.05263157894736842,325
1,0,0,2,0,1,0,0.9326923076923077,0.1958762886597938,301
0,0,0,1,0,3,0,0.4473684210526316,0.17647058823529413,468
1,0,0,3,0,0,2,0.20676691729323307,0.3090909090909091,741
1,0,0,6,0,11,0,0.4581560283687943,0.11764705882352941,1391
1,0,0,3,0,9,0,0.1162079510703364,0.42105263157894735,961
0,0,1,3,0,10,0,0.49264705882352944,0.3333333333333333,1705
1,2,0,3,0,20,0,1.4725738396624473,0.12177650429799428,1787
1,0,0,3,0,0,1,6.076086956521739,0.08497316636851521,1644
1,0,0,3,0,4,0,6.008,0.031291611185086554,2016
1,0,1,3,0,1,0,0.811965811965812,0.09473684210526316,962
