email_send,forward_received,forward_send,page_view,0-200_purchase,200-800_purchase,800+_purchase,no_purchase,percent_open,percent_click,CONVERSION,primary_purchases,other_purchases
74,0,0,13,0,0,0,1,0.9054054054054054,0.0298507462686567,0,0,0
78,1,0,20,1,0,0,0,0.8205128205128205,0.078125,0,1,0
64,0,0,0,0,0,0,1,0.53125,0.088235294117647,0,0,0
67,0,0,1,0,0,0,1,0.3582089552238806,0.0,0,0,0
94,0,0,0,0,0,1,0,1.6382978723404256,0.0714285714285714,0,1,0
145,3,0,0,1,0,0,0,0.2620689655172414,0.1052631578947368,0,0,1
139,2,0,110,0,1,0,0,0.4748201438848921,0.0606060606060606,0,2,2
103,0,0,0,0,0,0,1,0.5922330097087378,0.0491803278688524,0,0,0
116,0,1,60,0,1,0,0,0.896551724137931,0.0673076923076923,0,0,2
31,0,0,0,0,0,1,0,0.7419354838709677,0.0434782608695652,0,0,1
279,0,0,3,0,0,1,0,0.1326164874551971,0.1081081081081081,0,1,0
79,0,0,0,1,0,0,0,1.0253164556962024,0.0493827160493827,0,0,2
53,0,0,0,0,0,0,1,0.1886792452830188,0.1,0,0,0
2,3,3,7,0,1,0,0,1.5,0.0,0,0,0
115,0,0,0,0,0,1,0,0.0260869565217391,0.0,0,0,2
127,3,0,0,1,0,0,0,0.1496062992125984,0.0,0,0,0
61,0,0,0,0,0,0,1,0.2295081967213114,0.0,0,0,0
70,1,0,0,0,0,1,0,2.157142857142857,0.0662251655629139,0,0,0
163,0,0,45,0,0,0,1,0.4049079754601227,0.1212121212121212,0,0,0
126,0,1,58,0,0,0,1,0.0317460317460317,0.0,0,0,0
119,0,0,0,0,1,0,0,0.0588235294117647,0.0,0,1,1
60,0,0,0,0,0,0,1,0.5166666666666667,0.0,0,0,0
56,0,0,0,1,0,0,0,0.0714285714285714,0.0,0,0,2
54,0,0,0,0,0,0,1,0.9444444444444444,0.0980392156862745,0,0,0
18,0,0,0,0,0,0,1,0.7222222222222222,0.0,0,0,0
99,0,0,0,1,0,0,0,0.4646464646464646,0.0869565217391304,0,2,0
88,0,0,0,0,0,1,0,0.6477272727272727,0.0175438596491228,0,0,1
61,0,0,0,0,0,0,1,0.8688524590163934,0.0,0,0,0
32,0,0,0,0,0,0,1,0.53125,0.0,0,0,0
203,1,4,63,1,0,0,0,0.3645320197044335,0.1351351351351351,0,0,4
97,0,0,0,0,0,0,1,0.0824742268041237,0.25,0,0,0
20,0,0,0,0,0,0,1,1.85,0.1351351351351351,0,0,0
99,0,0,3,0,0,0,1,0.8181818181818182,0.1234567901234567,0,0,0
57,0,0,0,0,0,0,1,0.0526315789473684,0.3333333333333333,0,0,0
177,0,0,120,0,1,0,0,1.3276836158192091,0.0595744680851063,0,0,7
169,0,0,0,0,0,0,1,0.1893491124260355,0.09375,0,0,0
56,2,1,31,1,0,0,0,0.6428571428571429,0.1944444444444444,0,0,1
90,0,0,6,0,0,0,1,0.7666666666666667,0.0434782608695652,0,0,0
122,0,0,0,0,0,0,1,0.3688524590163934,0.0,0,0,0
135,7,5,0,1,0,0,0,0.1481481481481481,0.25,0,2,0
31,0,0,0,0,0,0,1,0.2580645161290322,0.125,0,0,0
86,2,0,0,0,1,0,0,0.4534883720930232,0.0512820512820512,0,0,1
69,0,0,0,0,0,0,1,0.1304347826086956,0.1111111111111111,0,0,0
85,0,0,0,0,0,0,1,0.4470588235294118,0.0,0,0,0
242,0,5,3,0,0,1,0,0.9834710743801652,0.0714285714285714,0,0,1
60,0,0,0,0,0,0,1,0.2,0.1666666666666666,0,0,0
166,2,0,1,0,1,0,0,0.4096385542168674,0.0441176470588235,0,0,1
139,0,0,0,0,0,0,1,0.5035971223021583,0.0142857142857142,0,0,0
131,2,1,211,0,1,0,0,0.4503816793893129,0.288135593220339,0,0,2
147,0,0,0,0,0,1,0,0.4489795918367347,0.0,0,0,1
119,0,2,57,0,1,0,0,0.2436974789915966,0.0689655172413793,0,0,4
129,0,0,0,0,0,0,1,0.2248062015503876,0.0,0,0,0
91,0,0,49,0,0,0,1,0.3736263736263736,0.1176470588235294,0,0,0
200,3,1,5,0,1,0,0,0.275,0.1818181818181818,0,0,2
215,0,0,108,0,1,0,0,0.8930232558139535,0.0520833333333333,0,1,3
205,0,0,0,0,0,0,1,0.6146341463414634,0.0396825396825396,0,0,0
251,0,0,0,0,0,0,1,0.1832669322709163,0.0217391304347826,0,0,0
126,0,0,0,0,0,0,1,0.0396825396825396,0.4,0,0,0
204,7,3,12,1,0,0,0,0.3872549019607843,0.1645569620253164,0,0,0
0,0,0,19,0,0,0,1,0.0,0.0,0,0,0
39,0,0,0,0,0,0,1,0.6410256410256411,0.0,0,0,0
2,0,0,0,0,0,0,1,1.5,0.0,0,0,0
137,0,0,0,0,0,0,1,0.0875912408759124,0.0833333333333333,0,0,0
75,0,1,15,0,0,0,1,0.48,0.0,0,0,0
201,0,0,0,0,0,1,0,0.154228855721393,0.032258064516129,0,2,0
140,0,0,0,0,0,0,1,0.8714285714285714,0.0081967213114754,0,0,0
23,0,0,0,0,0,0,1,1.3478260869565215,0.2903225806451613,0,0,0
88,0,0,0,1,0,0,0,0.8863636363636364,0.0128205128205128,0,0,2
2,0,0,1,0,0,0,1,0.0,0.0,0,0,0
141,2,0,0,1,0,0,0,0.1134751773049645,0.125,0,0,0
167,1,0,0,0,0,1,0,0.2275449101796407,0.0526315789473684,0,0,0
